Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold1.2,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.7,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.10,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.12,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.22,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.24,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.25,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.26,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.28,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.30,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.31,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.33,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.36,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.38,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.41,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.43,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.47,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.49,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.50,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.52,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.64,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.68,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.69,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.74,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.75,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.77,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.79,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.80,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.81,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.83,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.84,0,NA,NA,NA,NA,NA
