Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold100.9,171.6387893,-0.266384721,0.080731856,-3.299623385,9.68e-4,0.003749143
SymbC1.scaffold100.11,108.88709,-0.17882997,0.07321722,-2.442457796,0.014587635,0.038997078
SymbC1.scaffold100.12,4.627358158,0.881861652,0.344172898,2.562263491,0.010399239,0.029277721
SymbC1.scaffold100.13,55.64691791,-0.605465619,0.181758871,-3.331147565,8.65e-4,0.003401086
SymbC1.scaffold100.16,26.02684161,0.419239033,0.158943991,2.637652615,0.008348205,0.024321929
SymbC1.scaffold100.18,50.82950692,-0.30001467,0.099834406,-3.005122994,0.002654735,0.009056084
SymbC1.scaffold100.19,34.61006557,-0.437693459,0.137844471,-3.175270322,0.00149697,0.005508754
SymbC1.scaffold1000.1,4.633318223,1.270810545,0.375476669,3.384525987,7.13e-4,0.00287343
SymbC1.scaffold1000.5,45.16781925,-0.936337598,0.138876586,-6.74222792,1.56e-11,2.72e-10
SymbC1.scaffold1000.8,1.383054381,2.034744303,0.695259323,2.926597652,0.003426919,0.011277202
SymbC1.scaffold10004.1,13.15731273,1.095671007,0.213630963,5.128802453,2.92e-7,2.57e-6
SymbC1.scaffold10004.2,9.400095683,-0.903402272,0.268014502,-3.370721606,7.5e-4,0.003005289
SymbC1.scaffold10006.2,6.242027272,0.759065223,0.272826181,2.782230142,0.005398674,0.016682531
SymbC1.scaffold1001.1,54.26131299,-1.208225799,0.119842738,-10.08176061,6.65e-24,4.79e-22
SymbC1.scaffold10015.3,0.988725718,2.381237684,0.807271903,2.949734378,0.003180472,0.010581665
SymbC1.scaffold1002.5,40.32738259,-0.596216686,0.10968972,-5.435483686,5.46e-8,5.47e-7
SymbC1.scaffold1002.6,2.04324819,-2.255562089,0.57488826,-3.923479127,8.73e-5,4.47e-4
SymbC1.scaffold1002.9,51.41641581,-0.742533577,0.113272943,-6.555259875,5.55e-11,9e-10
SymbC1.scaffold1002.10,5.217714087,-0.967034966,0.317642079,-3.044417063,0.002331317,0.008068696
SymbC1.scaffold1002.11,45.04274105,0.540662717,0.103305056,5.23365203,1.66e-7,1.52e-6
SymbC1.scaffold10022.1,14.21584663,0.600902094,0.204721868,2.935212044,0.003333198,0.011016108
SymbC1.scaffold1003.4,48.14305792,-0.883227528,0.136284922,-6.480742792,9.13e-11,1.43e-9
SymbC1.scaffold1003.11,34.06868065,-0.562552787,0.158346778,-3.552663307,3.81e-4,0.001664794
SymbC1.scaffold1003.14,1.586493654,-1.804682828,0.582055451,-3.10053419,0.001931719,0.006872841
SymbC1.scaffold10030.1,50.43976734,-0.260116661,0.107707534,-2.415027549,0.01573402,0.041538589
SymbC1.scaffold10035.2,93.67374843,0.73809735,0.112117147,6.583269091,4.6e-11,7.53e-10
SymbC1.scaffold10038.1,89.53741232,-0.208018697,0.079188064,-2.626894583,0.008616802,0.024964388
SymbC1.scaffold10041.2,39.59162307,-0.364787761,0.120736832,-3.02134613,0.002516535,0.008643221
SymbC1.scaffold10041.3,61.79329067,-0.448331933,0.134165831,-3.341625276,8.33e-4,0.003294109
SymbC1.scaffold10043.1,66.73483633,0.804041497,0.129503546,6.208644666,5.34e-10,7.43e-9
SymbC1.scaffold10043.2,10.97128265,0.961942269,0.232600167,4.135604375,3.54e-5,1.99e-4
SymbC1.scaffold10043.3,142.2575741,0.691953749,0.096944803,7.137605403,9.5e-13,1.98e-11
SymbC1.scaffold10043.5,3.094548449,4.366736188,1.012546007,4.312629902,1.61e-5,9.84e-5
SymbC1.scaffold10044.1,61.53466291,0.898210477,0.168729367,5.32337963,1.02e-7,9.7e-7
SymbC1.scaffold10044.2,10.04528273,1.153694027,0.292874257,3.939212816,8.17e-5,4.22e-4
SymbC1.scaffold10056.1,36.21200005,-0.537446375,0.200067942,-2.686319298,0.007224401,0.021475766
SymbC1.scaffold10057.1,41.94655155,-0.288167348,0.12029795,-2.395446871,0.01660012,0.043453146
SymbC1.scaffold10059.1,2.088386016,1.430107472,0.48392016,2.955255,0.003124107,0.010426769
SymbC1.scaffold1006.1,61.75820813,-0.936170811,0.130701211,-7.16267894,7.91e-13,1.67e-11
SymbC1.scaffold1006.3,34.0189939,-0.38923222,0.117175546,-3.321787119,8.94e-4,0.003501945
SymbC1.scaffold10060.2,127.0465879,-0.245864316,0.088917702,-2.765077258,0.005690932,0.017451892
SymbC1.scaffold10069.1,21.42209044,0.449421745,0.183075604,2.454842347,0.014094639,0.037869625
SymbC1.scaffold1007.1,68.20882238,-0.695773929,0.11683209,-5.955332378,2.6e-9,3.26e-8
SymbC1.scaffold1007.2,18.95243087,-1.196382382,0.157084475,-7.61617202,2.61e-14,6.72e-13
SymbC1.scaffold1007.6,86.94605147,-0.650729637,0.096627684,-6.734401701,1.65e-11,2.86e-10
SymbC1.scaffold10079.2,54.07454857,-0.709544874,0.118032182,-6.011452681,1.84e-9,2.36e-8
SymbC1.scaffold10081.1,30.75501369,5.380096279,0.353583509,15.21591402,2.77e-52,1.71e-49
SymbC1.scaffold10088.1,2.809528846,1.190415108,0.504268596,2.360676666,0.018241627,0.046954155
SymbC1.scaffold10089.1,18.52761957,1.30961992,0.237632607,5.511112043,3.57e-8,3.7e-7
SymbC1.scaffold1009.1,33.36778322,-0.546048075,0.152579753,-3.578771532,3.45e-4,0.001526693
SymbC1.scaffold10094.1,21.68705842,-0.953969294,0.197432003,-4.831887843,1.35e-6,1.04e-5
SymbC1.scaffold10104.2,2.732468653,-1.097591348,0.435557476,-2.519969024,0.011736516,0.032481677
SymbC1.scaffold10104.3,12.9573801,-0.540477337,0.193348349,-2.795355321,0.00518427,0.016107259
SymbC1.scaffold10110.2,37.38014383,-0.662528106,0.114089137,-5.80710948,6.36e-9,7.43e-8
SymbC1.scaffold1012.3,8.586528229,-0.565069357,0.234790962,-2.406691258,0.016097772,0.042313421
