Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold100.9,171.6039385,-0.263566095,0.080639596,-3.268445133,0.001081401,0.004138454,TRUE
SymbC1.scaffold100.11,108.7127359,-0.180968772,0.07319771,-2.47232832,0.013423617,0.036418137,TRUE
SymbC1.scaffold100.12,4.628339347,0.884396364,0.343897482,2.571686069,0.010120462,0.028680788,TRUE
SymbC1.scaffold100.13,55.64395813,-0.602569379,0.181677316,-3.316701239,9.11E-04,0.003564144,TRUE
SymbC1.scaffold100.16,26.03074757,0.422063703,0.158840043,2.657161843,0.00788016,0.02316777,TRUE
SymbC1.scaffold100.18,50.82257186,-0.297460268,0.099749229,-2.982080869,0.002862964,0.009664315,TRUE
SymbC1.scaffold100.19,34.2901845,-0.399689318,0.138782054,-2.879978395,0.003977024,0.012857539,TRUE
SymbC1.scaffold1000.1,4.634920371,1.27339472,0.3750756,3.395034815,6.86E-04,0.00278648,TRUE
SymbC1.scaffold1000.5,45.15340261,-0.933514351,0.138709365,-6.730002335,1.70E-11,2.95E-10,TRUE
SymbC1.scaffold1000.8,1.383451099,2.037263022,0.694589646,2.933045482,0.003356547,0.011107076,TRUE
SymbC1.scaffold10004.1,13.16027586,1.098407048,0.213491246,5.144974648,2.68E-07,2.36E-06,TRUE
SymbC1.scaffold10004.2,9.395323613,-0.90083688,0.267757277,-3.364378702,7.67E-04,0.003070886,TRUE
SymbC1.scaffold1001.1,54.24199575,-1.205475781,0.119622988,-10.07729201,6.96E-24,5.00E-22,TRUE
SymbC1.scaffold10015.3,0.988727239,2.383716915,0.806913777,2.954116019,0.003135661,0.010457732,TRUE
SymbC1.scaffold1002.5,40.320507,-0.593566145,0.109619748,-5.414773845,6.14E-08,6.09E-07,TRUE
SymbC1.scaffold1002.6,2.041842594,-2.253153554,0.574589554,-3.921327035,8.81E-05,4.53E-04,TRUE
SymbC1.scaffold1002.9,51.40027812,-0.739836875,0.113135502,-6.539387378,6.18E-11,9.91E-10,TRUE
SymbC1.scaffold1002.10,5.216346883,-0.964120141,0.317405206,-3.037505756,0.002385448,0.008242021,TRUE
SymbC1.scaffold1002.11,45.04290618,0.543294047,0.10320499,5.264222642,1.41E-07,1.31E-06,TRUE
SymbC1.scaffold10022.1,14.21970371,0.603649803,0.204611265,2.95022761,0.003175399,0.010569109,TRUE
SymbC1.scaffold1003.4,48.13892563,-0.880529433,0.136251283,-6.462540492,1.03E-10,1.59E-09,TRUE
SymbC1.scaffold1003.11,34.06139362,-0.559835038,0.158210828,-3.538538072,4.02E-04,0.00174826,TRUE
SymbC1.scaffold1003.14,1.585702747,-1.802130485,0.581774906,-3.097642173,0.001950668,0.006928614,TRUE
SymbC1.scaffold10030.1,50.43660814,-0.257455526,0.107609545,-2.392497128,0.016734159,0.04387897,TRUE
SymbC1.scaffold10035.2,93.68648752,0.741031737,0.112034328,6.614327529,3.73E-11,6.22E-10,TRUE
