Gene,Hw1-4a,Hw1-4b,Hw1-4c,Hw2-4a,Hw2-4b,Hw2-4c,Wt1-4a,Wt1-4b,Wt1-4c,Wt2-4a,Wt2-4b,Wt2-4c
13033,35,33,18,39,24,17,12,15,52,18,11,42
2E4.130,22,12,15,38,30,30,19,16,60,17,23,56
36900,16,16,9,18,13,13,2,2,7,6,4,19
6454,93,49,39,111,96,93,40,49,86,42,37,127
6GAL,116,104,65,164,130,88,79,60,200,77,76,168
A2Z30_08115,8,8,3,15,10,12,9,6,23,5,4,5
AADAC,2,0,1,4,7,3,2,4,14,5,1,7
AAE3,179,150,150,248,159,131,96,102,274,88,91,225
AAEL002956,110,93,76,139,124,83,225,241,567,247,165,476
AAEL003481,19,13,7,36,38,21,19,26,49,27,7,46
AAEL003512,226,144,138,267,219,175,112,98,289,106,54,194
AAEL004607,5,6,4,2,2,1,5,2,12,5,0,3
AAEL005527,61,32,19,68,45,30,33,20,78,38,17,57
AAEL011789,171,128,95,282,204,143,155,165,382,171,162,384
AAO2,73,42,36,59,50,44,61,46,139,59,74,144
Aar2,92,106,100,113,61,89,84,76,199,83,143,172
aarA,12,15,17,40,24,23,2,1,2,3,1,1
ABC1687,16,20,5,24,9,10,24,14,59,22,33,47
ABC1K1,59,51,39,99,58,58,86,74,188,92,55,194
ABCA1,100,62,60,105,92,73,61,54,169,74,49,121
abcA7,267,227,147,406,283,230,206,207,549,229,304,654
ABCB1,42,27,26,41,36,30,26,14,46,47,59,129
ABCB25,8,13,9,13,9,4,11,4,23,10,10,22
abcB3,7,5,6,12,6,6,8,7,11,1,1,4
Abcb4,164,125,89,281,186,161,99,102,233,99,68,174
Abcb6,15,3,7,66,45,37,56,47,162,81,49,149
Abcb7,30,24,21,39,20,22,10,3,18,10,12,30
ABCC1,104,75,54,222,160,118,131,146,383,142,159,344
ABCC2,104,84,65,190,146,132,89,96,241,94,127,249
abcC3,28,13,5,34,18,22,26,14,44,23,20,49
ABCC4,375,265,222,514,299,323,263,237,717,276,215,573
abcC8,12,10,10,16,18,9,27,30,84,42,27,68
abcD2,66,66,55,85,69,49,50,60,129,51,85,148
Abcd3,133,107,105,139,104,95,54,66,159,68,65,152
ABCF2,12,14,8,6,6,9,9,13,31,14,14,44
Abcf3,67,49,26,133,112,93,77,64,197,88,83,197
ABCF4,48,38,42,61,54,45,27,10,42,34,20,55
ABCG2,189,117,109,187,124,118,69,54,165,77,76,204
ABCG25,21,15,17,39,33,23,18,18,63,28,35,76
ABCG26,90,58,42,129,110,80,44,39,100,42,54,95
ABCG5,51,28,33,97,38,46,63,38,136,70,82,218
ABCG7,50,27,19,54,38,35,44,33,122,38,79,140
ABCI20,59,49,39,99,54,50,52,51,117,64,78,166
