Gene_model,padj,GN,Hw1.Anti,Hw2.Anti,Wt1.Anti,Wt2.Anti,Hw1.Heat,Hw2.Heat,Wt1.Heat,Wt2.Heat,Hw1.Anti.Heat,Hw2.Anti.Heat,Wt1.Anti.Heat,Wt2.Anti.Heat
SymbC1.scaffold6282.1,0.00000815,fusA,-7.350256832,-9.810755626,-8.037394874,-13.73317677,-8.739826154,-3.186018951,-2.612886787,-3.319919762,-19.80996586,-14.66712514,-16.86424722,-15.36220936
SymbC1.scaffold4630.1,0.0000101,URA7,-1.082856935,-1.744551277,0.55553564,-2.01413694,-4.296555712,-2.593343133,-1.351937845,0.437176428,-4.335012803,-3.637245553,-2.150319596,-1.707657334
SymbC1.scaffold3133.1,0.0000103,DHX38,-1.806253311,-2.155477707,-1.866248611,-2.62154461,-4.35192162,-1.742612157,-1.103287808,1.109358252,-6.36141361,-5.071083098,-4.744833837,-2.990778419
SymbC1.scaffold9506.1,0.0000104,Acly,-1.721334055,-1.263227834,-2.228100615,-9.03860035,-1.108357178,2.838928005,0.708052903,3.590649796,-5.963474124,-4.237039197,-7.028569152,-7.842203138
SymbC1.scaffold1288.3,0.0000106,FTSH10,-1.802960564,-2.351198807,-0.59254113,-2.041778412,-3.719562905,-1.683769561,-1.579725852,0.737941042,-5.430515755,-4.141063725,-4.659464682,-2.89909274
SymbC1.scaffold620.14,0.000011,secA,-0.799144897,-1.254148803,-0.228321716,-2.472774603,-3.505409016,-1.596271392,-0.493981236,-0.072563706,-4.869150926,-4.23879618,-2.464878413,-3.122293585
SymbC1.scaffold4330.1,0.0000125,rsmA,-2.321928095,-3.058893689,-5,-5.409390936,0,0.263034406,1.022367813,-0.539026217,0,-1.736965594,-4.415037499,0
SymbC1.scaffold12411.1,0.0000127,ML5,-3.492930427,-6.729949774,-2.611242121,-13.46920984,-5.707947407,-4.17492833,0.551307672,1.162621971,-8.083164343,-5.343407822,-4.184931892,-7.179284483
SymbC1.scaffold2574.4,0.0000139,dnaJ,-2.404073077,-3.17508745,-2.534739922,-5.151588942,-3.405772006,-1.183358824,-0.682047642,-1.482845707,-4.814238266,-4.587747627,-5.72474148,-6.925786412
SymbC1.scaffold4763.1,0.0000139,SUF4,-2.503718111,-4.257951226,-4.054693776,-4.95757675,-3.182954528,-1.526666872,-1.745481113,-1.249746072,-6.467890032,-4.572846214,-6.69515139,-5.108584538
SymbC1.scaffold2567.5,0.0000153,Rraga,-2.471419969,-3.623132167,-0.877099698,-5.438774743,-3.900263268,-1.582346553,0.011337544,-1.026244099,-5.994981925,-5.298553587,-3.688467076,-5.116846648
SymbC1.scaffold9358.1,0.0000157,GIP,-1.312781834,-2.908661393,-1.365649472,-6.653687199,-4.513569051,-2.392285807,0.360175564,-0.090479517,-4.692590845,-4.160345653,-3.043721377,-8.86870009
SymbC1.scaffold5345.4,0.0000172,AK812_SmicGene25788,-5.778858329,-7.592473074,-3.92721058,-9.686182157,-5.600137475,-2.41658987,4.676474549,2.260106214,-18.66919066,-10.73532288,-8.737011197,-9.787748171
SymbC1.scaffold14557.2,0.0000193,AK812_SmicGene1499,-0.672323973,-1.391618121,-0.382291119,-2.578908767,-3.759556059,-2.438167777,-1.526301885,-0.465865254,-2.895222154,-3.103035768,-2.75455205,-2.937653803
SymbC1.scaffold8222.1,0.0000222,RPA1,-3.004254251,-5.102278289,-3.064982864,-5.748476192,-2.83940919,-1.469903675,-1.57673676,-2.263044914,-4.674209265,-5.015561878,-6.824750496,-7.339710928
SymbC1.scaffold3136.2,0.0000224,impdh,-2.095803457,-3.612659482,-3.466318004,-9.0238392,-2.262926403,-1.22851053,1.009718129,1.099332032,-3.571952471,-3.996247865,-2.674559937,-3.298699041
SymbC1.scaffold7352.1,0.0000245,AIP1,-1.958844327,-2.692858188,-2.180915785,-6.185866545,-3.471085099,-0.718149344,1.364794744,0.251094793,-6.782901878,-5.469932478,-4.070389328,-2.378511623
SymbC1.scaffold5575.4,0.0000307,KHSRP,-1.474528854,-2.508916097,-1.870821093,-3.243332481,-3.387118086,-1.51195258,-0.081679095,-0.506358328,-4.522632701,-3.972000065,-3.540202152,-4.795014502
SymbC1.scaffold6845.2,0.0000312,RPS6,-1.307168846,-2.202577429,-1.221235519,-3.377281539,-3.200540185,-1.702763505,-0.317127109,-0.456092626,-4.085269131,-4.019590728,-3.019005762,-3.93053518
SymbC1.scaffold2069.5,0.000033,ODA11,-6.585533745,-8.999825858,-2.71769726,-8.154750971,-8.467183285,-4.549468137,2.604629534,-0.276460142,-9.516510997,-8.595076136,-5.172351739,-6.314427992
SymbC1.scaffold2573.1,0.0000353,DNAH9,-0.741081703,-1.883656216,-1.079461991,-2.894817763,-4.364012054,-2.784526993,-0.400640439,-0.907007172,-5.522441416,-4.292321633,-1.058043008,-2.506616449
SymbC1.scaffold6108.5,0.0000391,ppdK,-4.590428881,-9.134693468,0.178780889,-6.376596068,-9.767537568,-5.196311021,1.023093763,-0.437745335,-15.68320823,-8.527926956,-9.345219342,-12.1528174
SymbC1.scaffold4053.3,0.0000432,PFOR,-1.963644976,-4.186449439,-4.155476403,-12.71770966,-5.771129907,-1.511761378,-0.495014919,0.748505873,-4.62316034,-8.590612637,-11.5348038,-2.151770981
SymbC1.scaffold2783.6,0.0000437,Hcn4,-0.429301399,-0.248124923,-1.167693993,-3.131418761,-2.271315812,-1.557114516,-0.97924144,-0.832010286,-4.471322919,-4.136782717,-3.605322197,-3.502902681
SymbC1.scaffold2575.1,0.0000556,FNTB,-1.491853096,-0.684498174,-0.251538767,-3.847996907,-4.254813899,0.192645078,0.511899039,-0.409323848,-5.398743692,-2.485426827,-0.506959989,-5.639410285
