Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
13033,15,39,36,27,18,7,5,17,8,19,2,6
2E4.130,0,0,0,0,0,0,2,7,3,5,0,2
2E4.130,6,21,6,18,16,8,9,23,11,17,5,16
36900,8,12,12,19,9,10,1,1,3,23,2,3
6454,25,47,70,85,28,29,8,47,16,79,8,23
6GAL,112,96,95,119,80,53,52,98,42,82,21,42
A2Z30_08115,2,6,9,7,5,9,4,5,2,2,0,0
AADAC,0,1,0,2,0,2,0,3,1,1,0,0
AAE3,108,99,118,133,82,56,52,115,56,176,27,48
AAEL002956,80,90,96,120,57,34,103,228,96,109,57,113
AAEL003481,15,10,5,28,15,19,6,30,10,23,3,11
AAEL003512,142,124,153,234,107,79,49,107,46,122,20,35
AAEL004607,0,5,10,1,0,1,2,2,2,2,1,3
AAEL005527,14,19,34,25,11,14,8,26,14,29,4,3
AAEL011789,157,154,150,224,141,119,112,208,118,187,50,92
AAO2,16,45,55,42,29,18,34,69,34,57,23,29
Aar2,125,59,71,76,47,52,51,114,83,151,27,43
aarA,3,8,6,16,8,3,2,0,2,13,0,1
ABC1687,7,13,10,16,18,8,14,34,11,24,2,8
ABC1K1,50,41,45,69,46,24,44,98,59,70,21,33
ABCA1,16,48,73,62,36,22,23,40,19,53,15,9
abcA7,197,189,249,270,173,161,141,314,179,390,99,159
ABCB1,2,13,18,21,9,4,9,17,11,43,11,26
ABCB25,5,3,6,6,2,1,8,10,3,6,2,2
abcB3,6,3,1,2,5,1,0,4,0,5,0,1
Abcb4,7,26,37,49,19,14,7,22,8,41,4,7
ABCB4,25,37,48,72,27,17,19,48,19,58,20,16
Abcb6,4,8,8,22,27,13,26,63,31,33,14,24
Abcb7,10,17,20,17,13,5,4,7,2,26,5,6
ABCC1,0,1,0,1,3,1,1,2,0,2,0,0
ABCC1,15,9,5,9,7,8,9,10,10,9,5,2
ABCC1,2,8,5,5,1,8,14,30,14,22,8,18
ABCC1,12,20,17,38,17,14,14,34,10,35,9,9
ABCC1,30,25,31,71,49,52,29,82,26,53,13,27
ABCC1,7,5,8,9,12,5,17,27,14,37,9,5
ABCC2,21,20,32,41,16,11,25,46,17,67,10,20
ABCC2,12,8,12,14,21,4,8,15,13,22,1,5
Abcc2,16,17,44,56,27,16,24,48,27,89,18,18
abcC3,7,3,10,17,6,7,6,18,7,15,8,10
ABCC4,68,82,84,106,39,27,35,51,16,66,17,28
ABCC4,63,126,122,148,66,49,79,200,71,197,42,73
abcC8,6,7,17,13,4,7,20,39,22,26,7,21
abcD2,49,46,69,63,47,40,32,61,45,121,32,28
Abcd3,115,97,97,104,70,51,35,62,43,121,22,48
ABCF2,4,7,9,6,0,2,9,13,10,14,7,8
Abcf3,13,19,39,59,50,31,31,90,40,105,25,28
ABCF4,14,37,37,33,24,6,23,19,15,24,3,11
ABCG2,13,14,16,18,18,3,17,32,17,20,7,10
Abcg2,56,62,88,100,60,53,15,25,17,104,7,13
ABCG25,14,16,10,15,10,6,13,31,12,34,6,17
ABCG26,28,57,68,83,26,35,21,45,31,79,14,17
ABCG5,8,15,18,16,15,1,17,42,15,46,19,24
ABCG7,47,37,38,58,36,37,22,61,30,67,15,28
ABCI20,34,54,61,76,47,31,30,57,35,96,24,35
abfB,19,29,45,43,20,7,39,85,48,97,17,17
abhd11,6,12,20,23,5,6,8,21,13,20,5,8
abhd13,18,42,68,40,20,16,4,21,8,75,7,11
abhd13,5,3,7,30,14,10,7,17,10,34,11,7
abhd13,26,23,35,37,24,14,10,17,7,52,4,3
ABHD17A,99,134,158,145,90,100,63,123,81,221,41,52
Abhd17b,42,37,51,47,32,17,12,16,11,60,6,4
ABHD17B,64,69,59,84,37,41,59,128,57,132,35,37
abhd17c,21,18,21,21,10,18,11,22,13,25,3,5
ABHD3,2,2,5,121,70,48,32,68,24,74,19,30
abkC,56,80,107,84,52,34,20,33,15,86,8,20
abkC,0,2,0,2,2,0,1,6,1,2,3,2
abkD,1,1,1,1,1,0,2,3,1,3,2,1
ACAA1,19,25,16,16,10,8,18,22,10,15,6,12
Acaa1a,155,162,166,222,104,80,37,56,22,80,15,35
Acaa1b,75,103,102,144,52,46,24,34,6,45,14,18
ACAC,58,72,87,120,81,61,57,118,52,111,43,67
ACAC,1,2,2,5,3,3,1,10,2,14,9,0
ACACA,1,1,3,6,3,4,2,10,4,10,2,3
ACAD11,9,5,11,11,10,0,8,19,14,21,4,7
ACAD11,15,14,20,4,8,4,6,9,4,13,2,2
acadsb,56,76,91,85,32,32,42,61,28,71,15,21
acbd6,26,30,61,65,29,20,18,54,26,56,12,29
ACBP2,57,68,104,106,40,59,33,91,21,57,18,28
ACBP3,43,75,99,112,53,32,52,88,48,139,25,52
ACC1,1,0,0,1,3,0,0,1,1,0,3,2
ACC1,42,50,91,87,41,27,29,50,29,94,17,11
accA,3,2,8,11,2,3,5,12,2,11,2,4
accA,1,0,2,5,3,5,1,8,0,4,0,4
accA,0,0,0,2,0,0,1,4,0,3,0,1
AcCoAS,3,1,0,2,0,0,1,5,2,1,1,1
aceE,1,6,7,8,6,2,68,182,79,81,60,84
Acel_1111,15,31,51,41,22,24,5,29,6,34,6,10
ACER3,4,6,5,16,18,6,7,15,11,16,6,5
ACF2,0,3,7,12,8,1,6,10,2,6,6,2
ACF2,17,25,25,16,5,8,3,17,7,9,6,2
ACF2,3,2,2,10,6,1,3,10,7,6,1,6
ACHE,70,65,58,70,36,37,29,105,47,96,23,50
ackA,93,81,84,117,63,61,40,78,63,83,15,39
ackA,23,26,27,37,17,21,16,50,10,38,11,19
Acly,17,20,35,42,37,22,6,27,7,35,5,13
Acly,143,141,207,255,139,126,95,173,115,171,55,116
Acly,255,213,316,312,166,118,207,365,184,336,105,165
Acot11,43,37,41,58,34,29,17,31,19,48,10,14
ACOX3,64,58,83,85,52,54,53,103,61,135,39,55
ACOXL,1,6,8,6,4,5,5,10,4,11,5,6
ACP2,34,38,63,105,43,48,49,98,51,114,28,45
ACP5,12,15,15,22,13,12,18,20,8,33,6,13
ACP5,24,22,28,36,21,16,39,58,32,53,15,25
ACP5,5,9,15,19,12,6,4,6,5,8,1,1
ACP5,6,6,10,20,10,5,4,11,8,24,3,7
ACP5,71,127,155,259,162,106,94,183,84,235,55,74
ACP5,40,58,49,99,60,53,50,94,47,103,24,42
ACP5,15,17,22,12,4,16,19,36,20,25,6,11
ACP5,15,37,41,52,25,24,22,74,30,108,27,34
ACP5,17,23,24,16,14,5,7,14,6,11,1,2
ACP5,26,37,47,50,23,21,14,21,13,55,7,10
ACP5,31,42,36,60,18,20,10,19,6,72,3,13
ACP5,130,133,125,135,61,52,114,259,138,185,76,134
