Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
Abcb4,110,166,198,161,162,54,119,42,38,95,21
ABCB4,86,121,147,82,196,95,149,96,97,222,49
ABCC1,1,1,3,2,1,1,4,3,3,6,2
ABCC1,8,13,10,12,11,15,8,14,16,28,4
ABCC1,9,18,21,12,13,16,12,25,22,48,16
ABCC1,43,52,67,44,46,44,43,39,30,82,28
ABCC1,45,58,51,93,130,65,70,68,67,147,60
ABCC1,27,27,43,30,86,54,53,36,31,55,27
ABCC2,90,97,88,88,96,36,65,32,30,83,31
ABCC2,25,37,33,30,22,20,16,21,26,57,18
Abcc2,78,126,99,165,165,44,91,36,63,105,37
ABCC4,206,268,367,148,208,96,183,99,98,264,77
ABCC4,270,372,408,258,336,262,259,234,164,451,126
ABCG2,51,61,54,45,39,34,38,33,36,85,27
Abcg2,244,270,313,225,228,61,142,60,56,129,42
abhd13,146,196,165,177,98,36,71,28,27,67,15
abhd13,19,33,20,63,67,15,29,16,23,37,17
abhd13,95,99,92,84,91,23,72,29,16,47,14
Abhd17b,114,157,155,119,114,24,67,27,25,55,9
ABHD17B,119,149,152,104,134,117,83,103,115,200,50
abkC,222,292,263,199,199,44,94,45,41,81,27
abkC,13,7,9,6,9,4,6,7,12,16,5
ACAC,138,185,214,155,170,100,115,122,121,234,79
ACAC,18,19,24,19,21,14,21,17,20,36,9
ACAD11,34,40,37,30,37,27,30,19,31,44,21
ACAD11,22,34,26,23,18,9,12,17,11,34,3
ACC1,2,3,1,5,4,9,4,3,3,12,3
ACC1,227,279,271,216,231,96,147,70,104,202,54
accA,8,9,27,9,30,21,13,12,21,30,13
accA,2,5,5,2,11,9,10,6,4,10,6
accA,0,4,5,0,8,13,2,4,5,12,4
ACF2,4,24,21,28,23,12,15,23,12,32,15
ACF2,48,47,78,39,48,27,35,33,19,52,18
ACF2,9,9,19,20,19,17,27,19,11,31,5
ackA,186,213,177,152,180,67,115,70,71,202,39
ackA,41,50,43,37,49,25,29,22,31,58,24
Acly,72,69,77,64,83,13,45,18,13,36,11
Acly,251,345,389,356,523,225,358,254,266,453,172
Acly,622,784,809,499,616,607,510,521,521,991,313
ACP5,33,38,37,39,97,62,56,31,44,101,28
ACP5,71,79,73,47,65,76,49,64,83,131,35
ACP5,28,47,45,66,36,16,35,5,7,22,5
ACP5,30,39,39,21,52,29,27,18,30,44,14
ACP5,235,330,308,453,639,211,543,550,379,509,216
ACP5,145,172,193,237,309,115,181,122,140,299,99
ACP5,52,50,43,25,27,28,28,16,38,77,21
ACP5,110,150,170,81,153,87,98,76,88,178,64
ACP5,46,74,64,60,38,17,45,21,18,50,10
ACP5,131,175,160,117,94,29,60,21,29,60,24
ACP5,117,178,167,133,163,39,90,25,32,74,28
ACP5,309,289,362,233,264,394,238,325,360,740,236
ACP5,40,58,70,85,122,55,76,52,48,98,20
ACSBG2,213,277,254,253,327,65,154,72,90,152,56
ACSBG2,324,428,437,334,378,126,272,143,155,298,109
ada,253,325,311,216,198,70,127,62,50,129,51
Ada,239,306,336,290,418,136,251,125,113,241,77
Ada,68,75,75,38,36,9,16,18,47,88,42
ADGB,21,29,28,215,228,94,149,91,83,229,66
ADGB,0,0,0,0,6,3,4,6,2,7,2
ADK,104,104,99,45,58,40,37,36,37,87,36
ADK,8,11,13,8,8,15,11,16,13,46,3
ADK,395,499,546,518,746,152,420,182,163,304,90
ADL1,0,0,0,0,0,20,4,21,24,38,16
ADL1,28,48,37,44,65,5,27,4,5,12,3
ADS3,220,309,287,284,223,91,169,94,102,199,96
ADS3,122,141,121,117,126,59,93,64,54,138,41
Agbl5,104,118,123,79,98,24,65,19,15,45,10
Agbl5,18,27,27,22,26,21,19,21,16,43,15
agbl5,32,38,28,20,41,23,33,21,36,60,27
aglC,30,40,36,8,13,7,9,3,9,16,4
aglC,0,0,0,0,0,27,21,38,26,38,8
aifB,49,81,86,42,49,25,34,36,43,73,16
aifB,118,138,130,162,166,94,117,92,132,264,85
aifB,78,103,95,42,69,35,51,43,34,77,10
ak1,3,5,5,10,5,40,16,55,59,104,4
ak1,67,91,89,68,135,87,76,100,84,179,33
ak1,131,135,127,147,160,72,100,89,87,138,65
AK1,93,115,162,72,199,43,120,45,42,92,28
AK7,95,161,139,94,143,53,64,53,44,97,24
Ak7,135,127,106,108,103,25,66,16,21,60,15
AK7,559,626,539,424,574,214,321,196,222,441,132
AK812_SmicGene10896,16,22,11,10,14,1,13,0,2,3,1
AK812_SmicGene10896,59,60,62,50,69,3,30,5,4,15,5
AK812_SmicGene13287,1,2,0,3,2,0,0,0,2,6,0
AK812_SmicGene13287,6,11,8,8,10,12,12,9,9,20,9
AK812_SmicGene1336,187,226,244,198,149,115,129,131,109,265,78
AK812_SmicGene1336,27,40,41,25,40,41,28,31,45,73,39
AK812_SmicGene14513,184,232,259,160,198,112,154,81,90,201,78
AK812_SmicGene14513,29,39,36,29,68,39,33,23,23,47,15
AK812_SmicGene1499,0,0,0,0,0,35,6,28,32,67,23
AK812_SmicGene1499,0,0,2,0,0,21,4,14,21,26,6
AK812_SmicGene18235,2,0,0,0,0,3,0,4,3,8,4
AK812_SmicGene18235,13,17,18,16,15,16,6,15,21,44,13
AK812_SmicGene18235,10,6,9,10,2,6,3,4,7,16,6
AK812_SmicGene18235,4,4,7,3,4,2,5,3,3,6,5
AK812_SmicGene18302,11,15,11,12,12,0,4,3,6,9,4
AK812_SmicGene18302,79,63,76,38,39,23,26,27,23,50,18
AK812_SmicGene19840,16,22,22,19,18,6,14,7,8,9,7
AK812_SmicGene19840,47,61,99,51,97,28,50,20,16,45,10
AK812_SmicGene20119,9,8,8,6,13,12,10,11,19,28,7
AK812_SmicGene20119,20,34,40,28,45,30,24,23,45,55,22
AK812_SmicGene20295,8,13,12,20,20,0,12,0,0,0,0
AK812_SmicGene20295,6,5,4,11,12,0,9,0,0,0,0
AK812_SmicGene21627,26,35,27,25,25,19,18,29,27,49,16
AK812_SmicGene21627,897,1150,1091,953,1338,540,816,487,510,1025,338
AK812_SmicGene24054,7,9,4,8,4,31,17,44,58,85,26
AK812_SmicGene24054,7,7,16,8,10,14,14,31,23,42,12
AK812_SmicGene24289,203,189,177,188,219,77,120,86,97,188,76
AK812_SmicGene24289,266,311,285,242,223,117,161,110,79,215,78
AK812_SmicGene25158,36,49,51,40,54,17,34,12,11,28,10
