Gene,Hw1-4a,Hw1-4b,Hw1-4c,Hw2-4a,Hw2-4b,Hw2-4c,Wt1-4a,Wt1-4b,Wt1-4c,Wt2-4a,Wt2-4b,Wt2-4c
13033,35,33,18,39,24,17,12,15,52,18,11,42
2E4.130,2,1,0,1,1,0,3,3,12,2,4,8
2E4.130,20,11,15,37,29,30,16,13,48,15,19,48
36900,16,16,9,18,13,13,2,2,7,6,4,19
6454,93,49,39,111,96,93,40,49,86,42,37,127
6GAL,116,104,65,164,130,88,79,60,200,77,76,168
A2Z30_08115,8,8,3,15,10,12,9,6,23,5,4,5
AADAC,2,0,1,4,7,3,2,4,14,5,1,7
AAE3,179,150,150,248,159,131,96,102,274,88,91,225
AAEL002956,110,93,76,139,124,83,225,241,567,247,165,476
AAEL003481,19,13,7,36,38,21,19,26,49,27,7,46
AAEL003512,226,144,138,267,219,175,112,98,289,106,54,194
AAEL004607,5,6,4,2,2,1,5,2,12,5,0,3
AAEL005527,61,32,19,68,45,30,33,20,78,38,17,57
AAEL011789,171,128,95,282,204,143,155,165,382,171,162,384
AAO2,73,42,36,59,50,44,61,46,139,59,74,144
Aar2,92,106,100,113,61,89,84,76,199,83,143,172
aarA,12,15,17,40,24,23,2,1,2,3,1,1
ABC1687,16,20,5,24,9,10,24,14,59,22,33,47
ABC1K1,59,51,39,99,58,58,86,74,188,92,55,194
ABCA1,100,62,60,105,92,73,61,54,169,74,49,121
abcA7,267,227,147,406,283,230,206,207,549,229,304,654
ABCB1,42,27,26,41,36,30,26,14,46,47,59,129
ABCB25,8,13,9,13,9,4,11,4,23,10,10,22
abcB3,7,5,6,12,6,6,8,7,11,1,1,4
Abcb4,87,51,30,124,88,77,26,33,70,28,18,44
ABCB4,77,74,59,157,98,84,73,69,163,71,50,130
Abcb6,15,3,7,66,45,37,56,47,162,81,49,149
Abcb7,30,24,21,39,20,22,10,3,18,10,12,30
ABCC1,3,1,0,2,2,0,2,2,6,4,2,8
ABCC1,2,6,1,9,3,5,9,13,29,5,10,18
ABCC1,13,2,2,14,8,8,13,13,53,29,25,59
ABCC1,27,25,9,28,26,14,23,29,88,24,27,57
ABCC1,32,24,25,96,76,53,60,59,145,58,54,147
ABCC1,27,17,17,73,45,38,24,30,62,22,41,55
ABCC2,39,42,29,68,39,35,34,29,77,36,69,100
ABCC2,8,12,6,22,18,13,19,28,54,14,10,34
Abcc2,57,30,30,100,89,84,36,39,110,44,48,115
