Gene	Hw1-1a	Hw1-1b	Hw1-1c
cgt	79	94	112
rihB	124	145	193
RPT1A	115	100	126
Atp5b	106	108	149
Os01g0197200	50	99	100
LEUA	81	120	121
proRS	75	68	73
ECA1	85	73	106
AK812_SmicGene28950	43	38	56
Dnah5	120	128	146
Ctob_010821	90	75	127
AK812_SmicGene13956	106	132	129
aifA	70	66	68
CSB	70	86	128
PDK	21	36	51
At4g34450	100	121	110
VPS11	23	32	47
NOP14	27	35	38
Dync1h1	61	57	98
THIC	167	187	231
Clk1	58	44	38
eIF-2gamma	279	180	243
frs-2	67	65	104
ttc30a	108	129	159
THO3	38	45	51
CHR23	8	16	11
tnaA	97	63	64
HISN4	35	21	24
AK812_SmicGene36	15	15	12
pckA	28	50	53
modA	24	31	43
AK812_SmicGene43656	11	27	36
AK812_SmicGene26895	54	76	107
SUF4	32	56	84
CCT6A	237	194	238
At3g62310	21	59	43
Ranbp2	86	79	58
Eftud2	195	254	307
Psmc6	68	63	76
At1g09620	144	146	194
AK812_SmicGene42205	4	4	4
ap1b1	21	17	16
FNTB	14	24	26
