Gene	Hw1-1a	Hw1-1b	Hw1-1c	Upregulated	Downregulated	log2FoldChange
PA2953	0	0	0	1	0	6.336031845
aceE	1	6	7	1	0	4.827990511
groL1	0	0	0	1	0	3.766665434
TPC1A	7	4	7	1	0	3.419879275
AK812_SmicGene13884	3	2	7	1	0	3.140844309
PFP-BETA1	5	8	5	1	0	3.039721852
VPA0305	10	11	3	1	0	2.998031015
yngI	0	0	0	1	0	2.489864441
GLYK	3	2	4	1	0	2.423760884
fimA	3	10	9	1	0	2.396908492
CPK8	0	2	0	1	0	2.053603523
AK812_SmicGene7786	21	31	26	1	0	1.897543957
Rraga	0	1	0	1	0	1.827527663
MAP3K3	14	16	15	1	0	1.63273101
AK812_SmicGene43485	15	16	28	1	0	1.629637327
ALATS	26	22	27	1	0	1.552239498
ppsB	3	15	18	1	0	1.433619296
AK812_SmicGene16779	6	6	6	1	0	1.351087625
DHC10	3	1	4	1	0	1.315560251
AK812_SmicGene33715	3	1	6	1	0	1.142056751
Gars	19	23	40	1	0	0.986957039
pyr-1	8	13	24	1	0	0.98033162
GCLC	16	13	32	1	0	0.979197112
AIP1	125	106	116	1	0	0.966850413
Chek2	18	25	36	1	0	0.862349349
pht4	20	13	18	1	0	0.774509464
cpsf5	7	10	18	1	0	0.7696439
PTPMT1	0	1	2	1	0	0.767214221
DNAH9	1	2	3	1	0	0.764918008
GLT1	10	7	3	1	0	0.759386877
PU1	3	4	6	1	0	0.759175504
CLPB1	106	151	195	1	0	0.711120834
URA7	31	31	60	1	0	0.708324233
PDPK2	14	21	34	1	0	0.676336005
rpc2	46	35	66	1	0	0.664771596
Ot13g03040	39	36	38	1	0	0.634483909
BTU1	183	200	159	1	0	0.585569255
GART	14	9	19	1	0	0.582550333
INP53	65	76	96	1	0	0.564776821
ABCB1	2	13	18	1	0	0.563355466
Prpf8	25	20	32	1	0	0.56117845
SPAC4G8.04	113	63	98	1	0	0.550764399
AK812_SmicGene34664	27	32	30	1	0	0.509933573
GRINA	7	6	6	1	0	0.484577181
AK812_SmicGene42885	7	17	14	1	0	0.466879684
UBE4B	19	20	32	1	0	0.444448773
AK812_SmicGene39686	36	33	47	1	0	0.429458232
Zdhhc8	11	20	48	1	0	0.428149388
STK33	104	109	157	1	0	0.426296071
GBE1	32	58	82	1	0	0.421042168
AK812_SmicGene2419	34	59	46	1	0	0.403651225
eco47IIM	10	19	17	1	0	0.395883368
yojK	331	290	303	1	0	0.382217933
rsmA	43	100	115	1	0	0.36512548
PGIC1	14	35	38	1	0	0.357525752
CFAP251	29	52	53	1	0	0.3488186
AK812_SmicGene18284	56	45	62	1	0	0.32825086
HSPA1L	12	25	31	1	0	0.321045864
hgiCIIM	27	42	51	1	0	0.315969135
At5g26710	41	39	65	1	0	0.289089935
MPA1	86	98	99	1	0	0.269585846
ENO	96	118	145	1	0	0.262885853
sft2	52	80	100	1	0	0.255217505
IMPA4	103	107	156	1	0	0.222723844
RPN2A	163	183	235	1	0	0.222295317
ruvbl1	180	193	243	1	0	0.218978151
cgt	79	94	112	0	1	-0.217505735
rihB	124	145	193	0	1	-0.227047685
RPT1A	115	100	126	0	1	-0.230771692
Atp5b	106	108	149	0	1	-0.23949159
Os01g0197200	50	99	100	0	1	-0.249418128
LEUA	81	120	121	0	1	-0.265863137
proRS	75	68	73	0	1	-0.268528276
ECA1	85	73	106	0	1	-0.274117913
AK812_SmicGene28950	43	38	56	0	1	-0.280261242
Dnah5	120	128	146	0	1	-0.295687999
Ctob_010821	90	75	127	0	1	-0.299233331
AK812_SmicGene13956	106	132	129	0	1	-0.307013506
aifA	70	66	68	0	1	-0.350894964
CSB	70	86	128	0	1	-0.365380153
PDK	21	36	51	0	1	-0.389990409
At4g34450	100	121	110	0	1	-0.401723228
VPS11	23	32	47	0	1	-0.461785085
NOP14	27	35	38	0	1	-0.474922393
Dync1h1	61	57	98	0	1	-0.491930854
THIC	167	187	231	0	1	-0.495831944
Clk1	58	44	38	0	1	-0.502472427
eIF-2gamma	279	180	243	0	1	-0.506230672
frs-2	67	65	104	0	1	-0.519844701
ttc30a	108	129	159	0	1	-0.53834381
THO3	38	45	51	0	1	-0.555326858
CHR23	8	16	11	0	1	-0.630799266
tnaA	97	63	64	0	1	-0.67699539
HISN4	35	21	24	0	1	-0.712848693
AK812_SmicGene36	15	15	12	0	1	-0.72144853
pckA	28	50	53	0	1	-0.734564756
modA	24	31	43	0	1	-0.73736642
AK812_SmicGene43656	11	27	36	0	1	-0.741930494
AK812_SmicGene26895	54	76	107	0	1	-0.745656975
SUF4	32	56	84	0	1	-0.764900209
CCT6A	237	194	238	0	1	-0.812146827
At3g62310	21	59	43	0	1	-0.812422671
Ranbp2	86	79	58	0	1	-0.847356856
Eftud2	195	254	307	0	1	-0.857798937
Psmc6	68	63	76	0	1	-0.861790826
At1g09620	144	146	194	0	1	-0.937595411
AK812_SmicGene42205	4	4	4	0	1	-0.946208843
ap1b1	21	17	16	0	1	-1.282004146
FNTB	14	24	26	0	1	-1.908112762
