Gene	Hw1-1a	Hw1-1b	Hw1-1c
PA2953	0	0	0
aceE	1	6	7
groL1	0	0	0
TPC1A	7	4	7
AK812_SmicGene13884	3	2	7
PFP-BETA1	5	8	5
VPA0305	10	11	3
yngI	0	0	0
GLYK	3	2	4
fimA	3	10	9
CPK8	0	2	0
AK812_SmicGene7786	21	31	26
Rraga	0	1	0
MAP3K3	14	16	15
AK812_SmicGene43485	15	16	28
ALATS	26	22	27
ppsB	3	15	18
AK812_SmicGene16779	6	6	6
DHC10	3	1	4
AK812_SmicGene33715	3	1	6
Gars	19	23	40
pyr-1	8	13	24
GCLC	16	13	32
AIP1	125	106	116
Chek2	18	25	36
pht4	20	13	18
cpsf5	7	10	18
PTPMT1	0	1	2
DNAH9	1	2	3
GLT1	10	7	3
PU1	3	4	6
CLPB1	106	151	195
URA7	31	31	60
PDPK2	14	21	34
rpc2	46	35	66
Ot13g03040	39	36	38
BTU1	183	200	159
GART	14	9	19
INP53	65	76	96
ABCB1	2	13	18
Prpf8	25	20	32
SPAC4G8.04	113	63	98
AK812_SmicGene34664	27	32	30
GRINA	7	6	6
AK812_SmicGene42885	7	17	14
UBE4B	19	20	32
AK812_SmicGene39686	36	33	47
Zdhhc8	11	20	48
STK33	104	109	157
GBE1	32	58	82
AK812_SmicGene2419	34	59	46
eco47IIM	10	19	17
yojK	331	290	303
rsmA	43	100	115
PGIC1	14	35	38
CFAP251	29	52	53
AK812_SmicGene18284	56	45	62
HSPA1L	12	25	31
hgiCIIM	27	42	51
At5g26710	41	39	65
MPA1	86	98	99
ENO	96	118	145
sft2	52	80	100
IMPA4	103	107	156
RPN2A	163	183	235
ruvbl1	180	193	243
