Gene	Wt1-1a	Wt1-1b	Wt1-1c
cgt	56	99	40
rihB	59	148	63
RPT1A	40	116	57
Atp5b	49	93	52
Os01g0197200	26	72	29
LEUA	53	124	44
proRS	43	66	28
ECA1	42	76	35
AK812_SmicGene28950	13	35	9
Dnah5	67	123	66
Ctob_010821	44	89	50
AK812_SmicGene13956	42	81	38
aifA	32	58	41
CSB	34	102	34
PDK	23	46	20
At4g34450	23	100	47
VPS11	11	24	10
NOP14	14	22	5
Dync1h1	32	68	25
THIC	72	153	68
Clk1	23	29	24
eIF-2gamma	91	149	111
frs-2	36	75	27
ttc30a	53	114	53
THO3	14	29	15
CHR23	4	8	5
tnaA	19	45	28
HISN4	1	11	7
AK812_SmicGene36	2	15	3
pckA	17	38	11
modA	7	27	8
AK812_SmicGene43656	4	22	12
AK812_SmicGene26895	26	47	26
SUF4	23	41	14
CCT6A	71	132	68
At3g62310	7	26	10
Ranbp2	25	49	25
Eftud2	57	154	68
Psmc6	13	41	20
At1g09620	50	95	52
AK812_SmicGene42205	0	3	1
ap1b1	1	13	4
FNTB	5	6	2
