Gene	Wt2-1a	Wt2-1b	Wt2-1c
cgt	109	28	37
rihB	192	40	50
RPT1A	171	24	59
Atp5b	127	21	37
Os01g0197200	115	20	37
LEUA	134	25	45
proRS	67	15	15
ECA1	139	34	31
AK812_SmicGene28950	41	14	10
Dnah5	227	26	60
Ctob_010821	108	26	39
AK812_SmicGene13956	119	27	52
aifA	122	16	25
CSB	143	33	49
PDK	33	5	14
At4g34450	98	18	35
VPS11	26	4	11
NOP14	24	6	10
Dync1h1	108	14	37
THIC	187	22	65
Clk1	73	12	13
eIF-2gamma	360	55	76
frs-2	66	10	27
ttc30a	223	33	39
THO3	28	5	12
CHR23	24	5	2
tnaA	63	18	25
HISN4	12	1	4
AK812_SmicGene36	16	2	4
pckA	87	10	8
modA	16	4	5
AK812_SmicGene43656	18	7	5
AK812_SmicGene26895	129	9	31
SUF4	92	17	17
CCT6A	310	41	70
At3g62310	38	5	15
Ranbp2	66	18	25
Eftud2	216	52	63
Psmc6	98	12	21
At1g09620	113	26	43
AK812_SmicGene42205	3	1	2
ap1b1	13	3	3
FNTB	36	2	1
