baseMean,log2FoldChange,sig
14.51744795,-7.529310824,TRUE
61.93865892,-6.737679407,TRUE
79.99618875,-6.642954108,NA
4.942180624,-6.281158837,TRUE
6.171001235,-5.757569131,TRUE
4.664257041,-5.498667106,TRUE
86.4919937,-5.417704262,NA
21.98165436,-4.915835295,NA
1.95757649,-4.906461481,TRUE
7.368168585,-4.645977127,TRUE
6.860517977,-4.622009805,TRUE
11.53790958,-4.424802437,NA
223.0488851,-4.402089388,NA
1.497604322,-4.367037559,TRUE
1.381667448,-4.340860988,TRUE
9.361162668,-4.316016642,TRUE
1.642005999,-4.113719235,TRUE
4.374769667,-4.059983645,TRUE
2.99003187,-4.00226178,TRUE
6.170686194,-3.99402055,NA
7.325630141,-3.939321416,TRUE
7.03154231,-3.893559231,TRUE
5.530909744,-3.80255552,TRUE
39.57107969,-3.687176943,TRUE
62.6695856,-3.674973589,TRUE
0.96339454,-3.637540833,TRUE
2.778456548,-3.620415892,TRUE
26.77188227,-3.564846527,TRUE
6.082982902,-3.508325205,TRUE
2.222318348,-3.436362968,TRUE
1.785033001,-3.427600968,TRUE
62.97914444,-3.398221539,NA
4.379210958,-3.342951048,TRUE
4.1057568,-3.279116738,TRUE
16.17232067,-3.196137559,TRUE
14.06708196,-3.185705829,TRUE
0.832205035,-3.165590946,TRUE
2.879255747,-3.14113482,TRUE
1.684113099,-3.087707353,TRUE
1.528786127,-3.076324248,TRUE
117.5695567,-3.064291172,NA
18.61928027,-3.060402627,TRUE
16.89224994,-3.052011947,TRUE
1.92160453,-3.034599396,TRUE
8.014097309,-3.034523011,TRUE
6.835753221,-3.011134993,TRUE
1.860225328,-2.950223169,TRUE
11.37246595,-2.939024212,TRUE
6.972252388,-2.93769932,TRUE
22.95670379,-2.905097823,TRUE
55.28368483,-2.902995112,TRUE
1.445222043,-2.895252113,TRUE
0.503214969,-2.887794195,TRUE
22.89094348,-2.880504953,NA
1.011620646,-2.880032484,TRUE
44.54824856,-2.87678695,TRUE
1.877533065,-2.862636238,TRUE
25.57518591,-2.85321816,TRUE
1.953417223,-2.827627237,TRUE
19.25615908,-2.826092632,TRUE
3.470439381,-2.775049851,TRUE
20.8791519,-2.749868604,TRUE
3.181936218,-2.737628724,TRUE
4.99261268,-2.730514441,TRUE
15.72466451,-2.718759451,NA
20.67714058,-2.678147469,TRUE
1.57555238,-2.667800984,TRUE
8.013985433,-2.642433729,TRUE
34.068873,-2.602859179,TRUE
25.38693488,-2.564481828,TRUE
1.701116371,-2.544300849,TRUE
42.11022618,-2.536239235,TRUE
2.592846245,-2.520483187,TRUE
3.17549946,-2.513897423,TRUE
46.01496858,-2.510883076,TRUE
0.679046204,-2.509914758,TRUE
3.93155375,-2.502851536,TRUE
4.621203498,-2.488581486,TRUE
134.8728663,-2.469863078,NA
14.18010805,-2.467302441,TRUE
3.200354298,-2.461183958,TRUE
0.315227037,-2.459441779,FALSE
1.549778238,-2.443091667,TRUE
1.273463282,-2.437650208,TRUE
8.698365572,-2.423140044,TRUE
31.95319126,-2.41649959,TRUE
2.537372215,-2.393377661,TRUE
9.437694509,-2.390753415,TRUE
19.44010303,-2.377441011,TRUE
7.76694977,-2.363165344,TRUE
2.31851857,-2.357301114,TRUE
0.325402191,-2.355150746,FALSE
0.747943825,-2.346852652,TRUE
18.38908458,-2.340565067,TRUE
8.162400867,-2.339642991,TRUE
7.232042089,-2.337932943,TRUE
54.34256182,-2.335827368,TRUE
8.035465862,-2.334271916,TRUE
4.586683333,-2.32843634,TRUE
5.670284847,-2.320321316,TRUE
17.0577826,-2.283207795,NA
15.10145606,-2.264192846,TRUE
14.45313943,-2.255840849,TRUE
2.04324819,-2.255562089,TRUE
2.238385599,-2.235959837,TRUE
0.909453827,-2.233188645,TRUE
89.15608832,-2.225741122,TRUE
14.12378803,-2.220562623,TRUE
3.709573921,-2.204521267,TRUE
0.530653022,-2.201850701,TRUE
0.7504821,-2.18939762,TRUE
153.9847265,-2.16982519,TRUE
17.48070026,-2.128467366,TRUE
4.228237257,-2.126039945,TRUE
2.499874257,-2.120643072,TRUE
6.450984914,-2.114322579,TRUE
9.963052322,-2.114091831,TRUE
7.89775729,-2.111912273,TRUE
37.12624342,-2.110495608,TRUE
2.757066074,-2.09879887,TRUE
11.69940685,-2.092410285,TRUE
5.064209716,-2.078708364,TRUE
9.14675105,-2.078694064,TRUE
2.040274252,-2.076999369,TRUE
0.550546698,-2.075072216,FALSE
0.559225865,-2.072364407,TRUE
7.712520854,-2.069886316,TRUE
19.98407665,-2.053968728,TRUE
2.858650489,-2.030772166,TRUE
