Gene,Hw1-5a,Hw1-5b,Hw1-5c,Hw2-5a,Hw2-5b,Hw2-5c,Wt1-5a,Wt1-5b,Wt1-5c,Wt2-5a,Wt2-5b,Wt2-5c
13033,40,20,43,32,40,20,14,13,19,6,5,8
2E4.130,21,20,34,38,31,24,9,11,15,12,13,12
36900,22,12,37,35,41,24,0,5,2,1,1,2
6454,89,97,180,151,157,62,24,53,66,21,27,30
6GAL,168,128,208,200,194,95,37,83,147,49,66,46
A2Z30_08115,14,6,11,13,10,3,1,2,5,3,1,1
AADAC,0,1,1,6,5,0,2,2,2,3,0,2
AAE3,246,142,364,245,279,162,57,161,208,78,123,73
AAEL002956,139,64,150,139,174,69,166,243,282,110,127,126
AAEL003481,15,9,28,31,43,11,12,18,26,9,5,6
AAEL003512,214,119,337,309,411,152,76,132,115,45,68,29
AAEL004607,15,2,10,2,7,1,0,1,3,0,1,0
AAEL005527,55,44,65,46,51,21,16,27,32,8,13,11
AAEL011789,184,156,268,325,313,148,128,170,229,87,127,87
AAO2,65,51,95,81,68,69,40,41,63,24,32,40
Aar2,181,102,190,146,130,133,76,162,224,74,97,69
aarA,5,37,53,31,29,22,0,6,0,2,1,0
ABC1687,32,19,48,32,36,15,7,17,37,26,23,11
ABC1K1,73,65,118,116,132,66,61,64,93,34,41,19
ABCA1,108,49,135,103,159,63,41,27,56,14,24,14
abcA7,446,350,558,562,561,323,177,348,429,155,217,159
ABCB1,55,45,94,79,69,47,28,21,38,16,25,14
ABCB25,5,4,12,7,8,2,8,8,3,3,3,2
abcB3,6,9,15,12,13,4,0,7,8,2,5,3
Abcb4,125,107,331,283,292,117,48,77,120,48,62,49
Abcb6,11,5,13,49,50,19,46,46,83,26,51,38
Abcb7,36,39,66,44,47,31,4,10,10,1,5,6
ABCC1,89,103,179,267,272,88,107,141,177,66,104,60
ABCC2,151,126,211,276,247,142,60,120,179,60,103,42
abcC3,15,11,41,36,35,12,10,7,21,5,7,5
ABCC4,295,346,719,472,515,220,145,236,379,102,165,127
abcC8,20,10,25,15,20,14,22,9,6,4,4,6
abcD2,90,94,130,131,116,88,40,78,123,27,50,44
Abcd3,178,108,224,194,194,115,60,97,126,48,49,34
ABCF2,21,25,35,10,8,8,6,18,26,14,17,14
Abcf3,78,49,92,148,128,60,40,69,161,38,82,64
ABCF4,66,44,91,97,100,38,22,28,42,11,19,20
ABCG2,203,190,373,285,267,136,63,104,115,45,61,45
ABCG25,21,31,95,47,44,24,13,22,27,11,11,15
ABCG26,133,88,139,136,155,58,17,53,88,18,40,22
ABCG5,28,55,112,61,58,48,46,44,69,27,34,49
ABCG7,54,51,71,72,75,60,34,35,59,26,28,18
ABCI20,89,83,133,145,136,98,42,83,105,52,59,47
abfB,95,71,207,109,113,87,53,130,148,54,68,41
abhd11,23,18,35,30,32,12,15,18,20,12,15,7
abhd13,220,183,303,309,285,157,32,91,109,36,66,43
ABHD17A,266,277,448,321,326,193,59,151,216,84,78,56
Abhd17b,200,169,289,237,223,137,72,123,216,71,72,43
abhd17c,46,39,69,45,43,26,14,27,32,8,10,8
ABHD3,14,3,10,163,145,37,55,71,102,37,36,51
abkC,162,120,238,161,187,124,30,38,71,21,37,33
abkD,1,4,4,6,3,1,2,5,6,2,2,4
ACAA1,18,21,49,15,22,12,28,35,40,23,17,11
Acaa1a,192,121,348,238,390,86,73,100,102,41,55,33
Acaa1b,100,55,200,150,269,96,57,75,59,24,36,23
ACAC,94,111,166,212,162,108,70,77,149,37,75,41
ACACA,3,7,3,18,15,7,2,4,8,5,8,2
ACAD11,56,26,63,58,55,40,19,23,59,12,24,21
acadsb,133,83,202,122,187,73,41,66,102,26,51,21
acbd6,63,63,141,119,168,54,42,65,73,17,44,21
ACBP2,153,90,181,158,201,71,35,73,83,29,50,32
ACBP3,148,151,203,221,222,113,40,121,168,59,102,52
ACC1,171,96,214,170,226,83,38,59,93,34,45,27
accA,8,16,34,33,22,7,13,24,27,4,6,6
AcCoAS,1,9,11,1,5,6,4,5,9,5,3,3
aceE,9,13,24,14,11,13,93,137,268,105,150,122
Acel_1111,58,39,97,64,101,34,21,33,34,13,26,7
ACER3,13,11,22,18,28,12,11,14,18,10,7,2
ACF2,42,46,86,68,105,31,31,32,47,24,25,29
ACHE,87,65,157,130,113,52,50,83,113,51,45,46
ackA,216,112,224,216,248,114,76,124,167,74,80,60
Acly,662,658,1071,981,899,494,324,554,876,329,461,322
Acot11,73,62,95,109,81,57,24,27,35,16,23,15
ACOX3,159,92,190,141,177,100,70,146,181,69,90,81
ACOXL,13,5,22,21,15,9,13,8,10,3,9,4
ACP2,133,77,143,208,253,76,64,122,109,39,64,44
ACP5,950,828,1524,1642,1682,763,569,989,1230,454,741,462
ACP7,19,8,27,32,38,8,20,10,17,6,8,11
acr-16,5,14,16,23,21,11,9,16,27,12,12,10
acr-7,0,0,0,0,0,0,19,37,40,18,26,4
acsA,6,3,5,2,2,5,7,4,7,3,5,1
ACSBG2,383,336,607,591,585,315,135,215,341,105,158,116
Acsf3,109,70,179,126,156,69,52,80,142,60,80,45
ACT1,4,3,0,3,4,2,1,4,13,4,4,2
