Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
Abcb4,196,287,345,243,358,149,268,138,135,317,70
ABCC1,133,169,195,193,287,195,190,185,169,366,137
ABCC2,193,260,220,283,283,100,172,89,119,245,86
ABCC4,476,640,775,406,544,358,442,333,262,715,203
ABCG2,295,331,367,270,267,95,180,93,92,214,69
abhd13,260,328,277,324,256,74,172,73,66,151,46
Abhd17b,233,306,307,223,248,141,150,130,140,255,59
abkC,235,299,272,205,208,48,100,52,53,97,32
ACAC,156,204,238,174,191,114,136,139,141,270,88
ACAD11,56,74,63,53,55,36,42,36,42,78,24
ACC1,229,282,272,221,235,105,151,73,107,214,57
accA,10,18,37,11,49,43,25,22,30,52,23
ACF2,61,80,118,87,90,56,77,75,42,115,38
ackA,227,263,220,189,229,92,144,92,102,260,63
Acly,945,1198,1275,919,1222,845,913,793,800,1480,496
ACP5,1347,1679,1731,1597,2059,1158,1526,1326,1296,2383,800
ACSBG2,537,705,691,587,705,191,426,215,245,450,165
ada,560,706,722,544,652,215,394,205,210,458,170
ADGB,21,29,28,215,234,97,153,97,85,236,68
ADK,507,614,658,571,812,207,468,234,213,437,129
ADL1,28,48,37,44,65,25,31,25,29,50,19
ADS3,342,450,408,401,349,150,262,158,156,337,137
Agbl5,154,183,178,121,165,68,117,61,67,148,52
aglC,30,40,36,8,13,34,30,41,35,54,12
aifB,245,322,311,246,284,154,202,171,209,414,111
ak1,294,346,383,297,499,242,312,289,272,513,130
AK7,789,914,784,626,820,292,451,265,287,598,171
AK812_SmicGene10896,75,82,73,60,83,4,43,5,6,18,6
AK812_SmicGene13287,7,13,8,11,12,12,12,9,11,26,9
AK812_SmicGene1336,214,266,285,223,189,156,157,162,154,338,117
AK812_SmicGene14513,213,271,295,189,266,151,187,104,113,248,93
AK812_SmicGene1499,0,0,2,0,0,56,10,42,53,93,29
AK812_SmicGene18235,29,27,34,29,21,27,14,26,34,74,28
AK812_SmicGene18302,90,78,87,50,51,23,30,30,29,59,22
AK812_SmicGene19840,63,83,121,70,115,34,64,27,24,54,17
AK812_SmicGene20119,29,42,48,34,58,42,34,34,64,83,29
AK812_SmicGene20295,14,18,16,31,32,0,21,0,0,0,0
AK812_SmicGene21627,923,1185,1118,978,1363,559,834,516,537,1074,354
AK812_SmicGene24054,14,16,20,16,14,45,31,75,81,127,38
AK812_SmicGene24289,469,500,462,430,442,194,281,196,176,403,154
AK812_SmicGene25158,137,150,167,156,185,86,133,83,91,188,68
AK812_SmicGene25788,534,754,810,554,1244,700,867,566,743,1354,449
AK812_SmicGene31214,140,189,191,100,156,114,99,101,105,255,76
AK812_SmicGene37828,255,279,304,290,283,260,165,253,236,504,177
AK812_SmicGene40181,231,233,235,171,180,81,118,97,80,199,84
AK812_SmicGene40583,332,367,429,269,353,125,233,100,119,291,75
AK812_SmicGene41645,55,59,76,75,110,36,60,34,32,73,27
AK812_SmicGene43415,106,89,96,72,92,41,52,47,28,69,26
AK812_SmicGene5851,95,114,118,52,80,52,44,69,49,97,33
AKR1,219,270,275,216,225,178,185,141,161,313,79
alaS,260,339,363,187,228,105,180,106,113,230,89
Aldh3a1,376,433,407,542,596,237,426,255,251,616,173
ALG11,754,904,851,701,556,191,397,132,132,320,106
ALKBH3,750,879,798,506,605,266,427,259,285,555,200
Amacr,49,45,38,24,26,0,23,0,8,11,2
amt-3,398,510,493,358,408,110,236,128,118,279,85
AMT1-1,415,556,572,387,394,232,293,211,262,427,180
AMT1-2,184,252,309,134,210,63,119,64,61,133,42
amy,159,183,219,134,213,156,145,113,120,285,70
AMY1.1,138,190,174,56,83,55,77,60,54,96,30
AMY1.6,103,147,116,51,64,26,39,21,27,51,17
Ank1,905,1023,962,741,892,386,567,397,414,871,281
ANK2,1161,1458,1451,1173,1279,704,932,764,824,1726,581
ANK3,2172,2449,2537,1764,2367,923,1490,1049,1100,2067,575
ANKK1,309,342,386,342,354,214,270,196,200,517,139
ankrd1,304,314,322,231,322,154,231,162,191,325,115
ANKRD17,847,1156,1075,990,1002,422,709,431,498,1076,317
ANKRD50,1237,1494,1466,1115,1281,622,920,630,641,1294,414
ankrd52,257,330,333,277,260,115,190,132,147,287,91
ankrd54,92,99,100,83,130,28,62,27,25,48,30
ANKS1A,108,171,129,125,127,84,77,71,58,165,70
ANP2,188,222,230,118,119,95,103,89,88,202,72
ap1g1,147,171,170,151,280,130,170,114,134,280,101
apdG,218,264,219,147,176,117,140,114,112,238,90
APUM5,304,375,432,168,309,279,286,316,362,624,190
AQP5,360,449,502,458,555,162,334,177,205,375,107
Aqr,136,182,198,169,208,105,123,120,121,268,110
ARB_01444,183,253,270,145,261,85,140,82,111,161,72
