Gene	Hw1-1a	Hw1-1b	Hw1-1c
ABCB1	2	13	18
aceE	1	6	7
aifA	70	66	68
AIP1	125	106	116
AK812_SmicGene13884	3	2	7
AK812_SmicGene13956	106	132	129
AK812_SmicGene16779	6	6	6
AK812_SmicGene18284	56	45	62
AK812_SmicGene2419	34	59	46
AK812_SmicGene26895	54	76	107
AK812_SmicGene28950	43	38	56
AK812_SmicGene33715	3	1	6
AK812_SmicGene34664	27	32	30
AK812_SmicGene36	15	15	12
AK812_SmicGene39686	36	33	47
AK812_SmicGene42205	4	4	4
AK812_SmicGene42885	7	17	14
AK812_SmicGene43485	15	16	28
AK812_SmicGene43656	11	27	36
AK812_SmicGene7786	21	31	26
ALATS	26	22	27
ap1b1	21	17	16
At1g09620	144	146	194
At3g62310	21	59	43
At4g34450	100	121	110
At5g26710	41	39	65
Atp5b	106	108	149
BTU1	183	200	159
CCT6A	237	194	238
CFAP251	29	52	53
cgt	79	94	112
Chek2	18	25	36
CHR23	8	16	11
Clk1	58	44	38
CLPB1	106	151	195
CPK8	0	2	0
cpsf5	7	10	18
CSB	70	86	128
Ctob_010821	90	75	127
DHC10	3	1	4
Dnah5	120	128	146
DNAH9	1	2	3
Dync1h1	61	57	98
ECA1	85	73	106
eco47IIM	10	19	17
Eftud2	195	254	307
eIF-2gamma	279	180	243
ENO	96	118	145
fimA	3	10	9
FNTB	14	24	26
frs-2	67	65	104
Gars	19	23	40
GART	14	9	19
GBE1	32	58	82
GCLC	16	13	32
GLT1	10	7	3
GLYK	3	2	4
GRINA	7	6	6
groL1	0	0	0
hgiCIIM	27	42	51
HISN4	35	21	24
HSPA1L	12	25	31
IMPA4	103	107	156
INP53	65	76	96
LEUA	81	120	121
MAP3K3	14	16	15
modA	24	31	43
MPA1	86	98	99
NOP14	27	35	38
Os01g0197200	50	99	100
Ot13g03040	39	36	38
PA2953	0	0	0
pckA	28	50	53
PDK	21	36	51
PDPK2	14	21	34
PFP-BETA1	5	8	5
PGIC1	14	35	38
pht4	20	13	18
ppsB	3	15	18
proRS	75	68	73
Prpf8	25	20	32
Psmc6	68	63	76
PTPMT1	0	1	2
PU1	3	4	6
pyr-1	8	13	24
Ranbp2	86	79	58
rihB	124	145	193
rpc2	46	35	66
RPN2A	163	183	235
RPT1A	115	100	126
Rraga	0	1	0
rsmA	43	100	115
ruvbl1	180	193	243
sft2	52	80	100
SPAC4G8.04	113	63	98
STK33	104	109	157
SUF4	32	56	84
THIC	167	187	231
THO3	38	45	51
tnaA	97	63	64
TPC1A	7	4	7
ttc30a	108	129	159
UBE4B	19	20	32
URA7	31	31	60
VPA0305	10	11	3
VPS11	23	32	47
yngI	0	0	0
yojK	331	290	303
Zdhhc8	11	20	48
