gene,logP
pdam_00000001,0.153741181465519
pdam_00000002,-1.32287644577215
pdam_00000003,-0.653328473402439
pdam_00000005,-0.153449825528063
pdam_00000006,-1.80498169957287
pdam_00000007,-0.144295885650395
pdam_00000008,-0.464783653373967
pdam_00000009,-0.834510911946119
pdam_00000010,0.0994647870141958
pdam_00000011,-0.459146675074227
pdam_00000012,-0.13978646591092
pdam_00000013,-1.06157011719715
pdam_00000014,-0.368076627958832
pdam_00000015,0.0648072032967167
pdam_00000016,-0.966032080852305
pdam_00000017,-0.143533642773161
pdam_00000018,-0.0924161245716615
pdam_00000020,-1.01527678637754
pdam_00000021,1.29829630834835
pdam_00000022,-0.078307632389293
pdam_00000023,0.129244184602796
pdam_00000024,-0.35641635290245
pdam_00000025,-0.0362527409123801
pdam_00000026,-0.598806301655208
pdam_00000027,-0.254428486161304
pdam_00000028,0.408348251493591
pdam_00000029,0.638472605722037
pdam_00000030,-0.16350083890211
pdam_00000031,0.88608130738022
pdam_00000032,0.0487361559559799
pdam_00000033,0.332249918517033
pdam_00000035,0.0896682789652029
pdam_00000037,-0.119554815881492
pdam_00000039,-0.160756148082255
pdam_00000041,-0.244325362840329
pdam_00000042,1.11915217616016
pdam_00000043,0.25339774714559
pdam_00000044,-0.86047655281997
pdam_00000045,0.476068267865626
pdam_00000046,-3.56204431037481
pdam_00000047,-1.14593990900142
pdam_00000048,-0.686632037336725
pdam_00000049,1.19719577251437
pdam_00000050,-0.117008178579797
pdam_00000051,0.575973363007527
pdam_00000052,-0.318258989782766
pdam_00000053,0.480281091595782
pdam_00000054,-0.231751145777516
pdam_00000055,-0.335845158443361
pdam_00000056,-0.259814975922087
pdam_00000057,-0.112397748851833
pdam_00000062,-0.0456918691847959
pdam_00000064,-0.173180618308519
pdam_00000065,0.169307854261077
pdam_00000066,0.128464670117113
pdam_00000067,-0.0889574644444787
pdam_00000068,-0.0272269860005972
pdam_00000069,-0.614546511850924
pdam_00000070,-0.707685025229148
pdam_00000072,0.179286970262254
pdam_00000073,-2.69941923254972
pdam_00000074,1.22183807523559
pdam_00000076,1.86838206207915
pdam_00000078,0.255351026192682
pdam_00000079,-0.313714921890351
pdam_00000080,0.0533908494087332
pdam_00000081,0.122692548411123
pdam_00000082,-0.447135495169284
pdam_00000083,0.947328029138336
pdam_00000084,0.398355388878433
pdam_00000085,0.274873010824572
pdam_00000086,-0.199874197419337
pdam_00000087,0.0242484121018515
pdam_00000088,0.486801330333626
pdam_00000089,-0.219561767190782
pdam_00000090,-0.697330491237413
pdam_00000091,-0.716800211390903
pdam_00000092,0.919037119241727
pdam_00000093,0.251094611067227
pdam_00000094,0.407054450049546
pdam_00000095,0.355629137411316
pdam_00000096,-0.42189332711323
pdam_00000097,0.507630914276408
pdam_00000098,0.0487408270801559
pdam_00000099,0.148855297692989
pdam_00000102,1.80504689889745
pdam_00000104,-0.208553154695829
pdam_00000105,2.12034640311232
pdam_00000106,-0.11608465764502
pdam_00000107,1.23215758980505
pdam_00000108,-1.26393548458379
pdam_00000109,1.54797937348395
pdam_00000110,1.13591137729234
pdam_00000112,0.187896766543588
pdam_00000114,0.953857992708148
pdam_00000115,-0.517954632798195
pdam_00000116,-2.87071113547507
pdam_00000117,2.00318565076924
pdam_00000118,1.36737842904456
pdam_00000120,0.106610578502341
pdam_00000122,-0.0965756961610011
pdam_00000123,0.30673989995035
pdam_00000125,-0.174590822061777
pdam_00000126,-0.35566979650127
pdam_00000127,1.33728257999877
pdam_00000130,0.590655001528174
pdam_00000131,0.140424682789376
pdam_00000132,0.00897415721672498
pdam_00000133,-0.513420699021465
pdam_00000135,0.958427330928577
pdam_00000136,-0.277847206335269
pdam_00000137,-0.513515860140021
pdam_00000138,-0.576860846977278
pdam_00000140,-2.04781307335328
pdam_00000141,0.243250696771979
pdam_00000142,0.513348091049215
pdam_00000143,-11.2738865404021
pdam_00000144,-1.6268424685491
pdam_00000145,-10.7185919023579
pdam_00000146,-0.183807159483658
pdam_00000147,1.71516265305022
pdam_00000149,-0.447113361573313
pdam_00000150,-0.18746012370765
pdam_00000151,0.265554119288855
pdam_00000152,-1.61823947704094
pdam_00000153,-0.26007126646017
pdam_00000154,1.27610527755465
pdam_00000155,-0.332451486544308
pdam_00000156,1.14988576027678
pdam_00000157,1.71135962591531
pdam_00000158,1.29985634645994
pdam_00000159,-0.667862209958889
pdam_00000160,0.0516698562958351
pdam_00000161,-0.589156600256103
pdam_00000162,0.0019409516593016
pdam_00000163,1.14523570569351
pdam_00000164,-0.321119286560576
pdam_00000165,0.634221790030768
pdam_00000167,-0.389737813361842
pdam_00000168,-0.391407858181848
pdam_00000170,-0.0177407380982737
pdam_00000171,0.562821838731176
pdam_00000173,0.600396259660905
pdam_00000174,0.252764587749424
pdam_00000175,0.187501371313075
pdam_00000176,0.133296149456552
pdam_00000180,-0.558638877466373
pdam_00000181,0.163977007540685
pdam_00000182,-0.879728243459182
pdam_00000183,-0.0193774160264469
pdam_00000184,0.0138660451958725
pdam_00000185,-0.135492011101815
pdam_00000187,0.884158398182739
pdam_00000188,0.20789002997522
pdam_00000189,-3.74549156256744
pdam_00000190,0.150520831001563
pdam_00000191,1.77463539494447
pdam_00000192,-1.15410757632419
pdam_00000194,0.668859176585058
pdam_00000195,-0.00591490259255381
pdam_00000196,-0.756648661125052
pdam_00000197,-0.552999454544509
pdam_00000198,-1.11766783295306
pdam_00000199,0.10362742591968
pdam_00000201,0.441693714459617
pdam_00000202,-0.0577198850335626
pdam_00000203,0.88180556405239
pdam_00000204,0.251415130402902
pdam_00000206,1.37298951722855
pdam_00000207,2.61881747499055
pdam_00000208,2.02762533779946
pdam_00000209,0.692949723009234
pdam_00000210,-0.674401614112261
pdam_00000211,0.595123244012865
pdam_00000212,-0.217143602264684
pdam_00000213,0.301695000521186
pdam_00000214,-0.122705912451098
pdam_00000215,-0.108843750578508
pdam_00000216,-1.0276769415603
pdam_00000217,-0.176011916692601
pdam_00000218,-6.06124748595138
pdam_00000219,-0.356109293615078
pdam_00000220,0.574680923940756
pdam_00000221,0.795676069901563
pdam_00000222,0.227048539035393
pdam_00000223,-0.122480037911815
pdam_00000224,2.7419887599799
pdam_00000225,0.75749105103262
pdam_00000226,1.60400216587481
pdam_00000227,0.498514056344959
pdam_00000228,1.38348114532012
pdam_00000229,-0.457545133780453
pdam_00000230,-0.441417862023995
pdam_00000231,-1.40130519356657
pdam_00000233,2.58063977533259
pdam_00000234,0.358930427343315
pdam_00000235,0.274409900503165
pdam_00000236,1.04121388505563
pdam_00000238,0.0238214440952426
pdam_00000239,0.0825095835847172
pdam_00000241,-0.325773820803969
pdam_00000244,-0.209276199559584
pdam_00000245,-0.367378688868447
pdam_00000246,0.0349796435495296
pdam_00000247,0.868416924570686
pdam_00000248,-0.802252694975526
pdam_00000249,NA
pdam_00000250,-0.475690093610991
pdam_00000251,0.565941638112657
pdam_00000252,1.95716408706611
pdam_00000253,-0.0656078467534009
pdam_00000254,-0.887150942134037
pdam_00000255,-0.450297924062774
pdam_00000256,-0.00424290291534206
pdam_00000257,2.48131986378933
pdam_00000258,0.0873036876515759
pdam_00000259,0.524319326839906
pdam_00000260,-0.0543849755103849
pdam_00000261,-0.00681628775778558
pdam_00000263,0.101677989973289
pdam_00000264,-0.224691671655923
pdam_00000266,0.151993773444595
pdam_00000267,0.159438439363319
pdam_00000268,0.806317047479221
pdam_00000269,1.90406753625529
pdam_00000270,0.443144878830932
pdam_00000271,-0.000891023204317989
pdam_00000272,0.43819516396044
pdam_00000273,-0.0909499311340632
pdam_00000274,-0.537738881673565
pdam_00000275,-1.35590880717337
pdam_00000276,-3.27601752954883
pdam_00000277,-1.07049459214767
pdam_00000278,-0.0698823041932894
pdam_00000279,1.1644351566404
pdam_00000280,2.31913121901469
pdam_00000281,0.967008918199857
pdam_00000282,0.24115900290324
pdam_00000283,-0.802946589415221
pdam_00000284,-1.67912857891625
pdam_00000285,-0.0554548883244488
pdam_00000286,1.04877779097731
pdam_00000288,0.22112808091973
pdam_00000289,-0.737650025592754
pdam_00000290,0.451882476410703
pdam_00000291,0.322099308848294
pdam_00000292,-1.61566644741008
pdam_00000293,2.50553325146967
pdam_00000294,0.912521031189736
pdam_00000295,0.700853942820682
pdam_00000296,2.09085237973644
pdam_00000297,0.505133754297885
pdam_00000298,0.0676584446462661
pdam_00000299,-0.144302101116458
pdam_00000300,2.13054251349535
pdam_00000301,-0.0497037973323638
pdam_00000302,0.534175871257702
pdam_00000303,0.996462006071515
pdam_00000304,0.188852183689242
pdam_00000305,-0.730676903183805
pdam_00000306,1.24188024202708
pdam_00000307,0.365203584173295
pdam_00000308,0.560602532469322
pdam_00000309,0.216208242382007
pdam_00000310,-0.654187290604202
pdam_00000311,0.110009073818015
pdam_00000312,-0.380574522748473
pdam_00000313,0.241358113757514
pdam_00000315,0.1271866920197
pdam_00000316,0.437279352823172
pdam_00000317,0.907213867904936
pdam_00000318,-0.0600927566295873
pdam_00000319,-0.3258458604443
