"","baseMean","log2FoldChange","pvalue","padj"
"SymbC1.scaffold5965.2",0.824815612337578,2.37963943851625,0.0796105239116596,NA
"SymbC1.scaffold1213.6",0.625785890302367,2.21048932625615,0.0357340346055916,NA
"SymbC1.scaffold2683.3",0.829261351355526,2.10720427852364,0.0289635244420597,NA
"SymbC1.scaffold1468.3",0.982434070160122,2.0995157247876,0.0245618638772752,NA
"SymbC1.scaffold11596.1",0.534247446704376,1.94801990621184,0.0696529108244375,NA
"SymbC1.scaffold1388.3",0.540830162473092,1.93153115275742,0.0935463881692744,NA
"SymbC1.scaffold7304.1",1.35059982010924,1.89101426647681,0.0108086538287903,NA
"SymbC1.scaffold4653.2",0.512174134860553,1.84737977074129,0.0792649065720492,NA
"SymbC1.scaffold1711.2",0.571933858513106,1.84372240844964,0.0800515921756446,NA
"SymbC1.scaffold2139.3",1.32912472555642,1.83690511359108,0.0166927637800479,NA
"SymbC1.scaffold13899.1",1.64276720245482,1.82514260201357,0.00492745410899066,NA
"SymbC1.scaffold1661.4",1.03484936189734,1.82343140380633,0.0313673647903307,NA
"SymbC1.scaffold3275.1",2.58167590030954,1.81144324173457,0.000980386144251554,NA
"SymbC1.scaffold3233.1",1.39451622488725,1.79012813289877,0.0102506030477607,NA
"SymbC1.scaffold476.4",2.10264433419433,1.78942929503535,0.00186527728429649,NA
"SymbC1.scaffold18656.1",0.826745734501633,1.77312439340865,0.0546526900489758,NA
"SymbC1.scaffold1850.1",0.912153629718024,1.76255771909916,0.113031463125819,NA
"SymbC1.scaffold8932.1",0.451576953445018,1.73073865469871,0.176183476339984,NA
"SymbC1.scaffold336.2",1.63906205663182,1.69905220672778,0.0085602416758283,NA
"SymbC1.scaffold468.6",1.41206429511577,1.69876731444253,0.0202519678631861,NA
"SymbC1.scaffold8203.1",0.942993355040652,1.67945393911775,0.0469620965475466,NA
"SymbC1.scaffold4065.2",0.519537773246946,1.63383931683925,0.166989164946974,NA
"SymbC1.scaffold12947.1",1.19197855151413,1.63240328125245,0.0340406851550287,NA
"SymbC1.scaffold17065.1",1.7117467121441,1.62231483392863,0.0151722289325626,NA
"SymbC1.scaffold3848.3",1.31605473224789,1.58366985072587,0.037360744990976,NA
"SymbC1.scaffold11241.2",0.531422188102203,1.57986515397528,0.202504363471063,NA
"SymbC1.scaffold1850.2",0.861472596102166,1.57811849841435,0.076473284423408,NA
"SymbC1.scaffold6671.1",1.00071722384955,1.56901054987756,0.0486586823500443,NA
"SymbC1.scaffold1710.6",1.39889199544963,1.5676444777755,0.0244400619238439,NA
"SymbC1.scaffold11697.1",1.44680378429028,1.54289742686996,0.0465872583027577,NA
"SymbC1.scaffold5983.1",0.524280002786967,1.53422240396477,0.164819035989958,NA
"SymbC1.scaffold8416.3",1.16918952892823,1.52794090235777,0.0558431216232882,NA
"SymbC1.scaffold1779.6",0.953401383369275,1.51860380984322,0.0522109610725274,NA
"SymbC1.scaffold334.1",0.627192604979074,1.51329791900028,0.15700559722936,NA
"SymbC1.scaffold1710.5",0.66544972409762,1.51060100226657,0.126461718108646,NA
"SymbC1.scaffold2468.7",5.85880698982918,1.50404797313051,0.000174214976438489,NA
"SymbC1.scaffold12570.2",2.19882196861751,1.48791209750494,0.00721200278152113,NA
"SymbC1.scaffold254.7",0.605474738924761,1.47072378796482,0.131375843853253,NA
"SymbC1.scaffold12753.2",3.92968094233283,1.44617519036081,0.00169245296597975,NA
"SymbC1.scaffold9030.1",1.68640752330237,1.44539162482264,0.0352469925059573,NA
"SymbC1.scaffold4342.1",0.693184809510867,1.4450225026654,0.115047475391002,NA
"SymbC1.scaffold7402.2",2.21763121227812,1.43920269319759,0.0187158407269173,NA
"SymbC1.scaffold2394.6",0.467714204815895,1.43748169294068,0.198408559453928,NA
"SymbC1.scaffold16228.1",1.75994282801167,1.43711654484673,0.0160877015930616,NA
"SymbC1.scaffold5741.3",3.64121361487112,1.4329357097304,0.00374038787451132,NA
"SymbC1.scaffold776.21",2.67574588010755,1.42400097719043,0.00677431458844331,NA
"SymbC1.scaffold1181.5",1.42348321630187,1.42198970301646,0.0431176159309067,NA
"SymbC1.scaffold8864.2",1.79564232939073,1.40540437745263,0.0285258744674226,NA
"SymbC1.scaffold25439.1",1.36835889399394,1.40169640344109,0.0500820294296533,NA
"SymbC1.scaffold8043.3",3.00248908306405,1.39820096359213,0.00344165325916056,NA
"SymbC1.scaffold4931.5",0.620054909062841,1.39273915680988,0.160403519942325,NA
"SymbC1.scaffold355.1",1.26275897504109,1.38826537364591,0.0646806267651883,NA
"SymbC1.scaffold1008.5",1.04929969727986,1.3775867839762,0.0797938271044481,NA
"SymbC1.scaffold10263.2",4.22005016589637,1.37050835671623,0.00153521893130354,NA
"SymbC1.scaffold6384.1",0.74609432074545,1.35840572374984,0.124498949817102,NA
"SymbC1.scaffold12389.2",1.46611719265956,1.3509921544305,0.0812531678585158,NA
"SymbC1.scaffold2715.5",0.75413370804419,1.35098274605945,0.15131318755586,NA
"SymbC1.scaffold12941.1",2.47884033769419,1.34920558677599,0.0126002172422957,NA
"SymbC1.scaffold532.10",0.51135126612142,1.34794765196449,0.2391920629056,NA
"SymbC1.scaffold553.2",0.812955037269705,1.33879226429579,0.133187573130099,NA
"SymbC1.scaffold3309.3",1.70317830393838,1.33526876390956,0.0253383266737207,NA
"SymbC1.scaffold7653.1",2.01080106463785,1.321080653301,0.0270304794297453,NA
"SymbC1.scaffold3092.2",2.17974011666825,1.31162358760637,0.0272460022168702,NA
