Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Hw1-4a_Pdam	9723143.0	49.0	5188236.0	53.36	49.27	314897.0	257008.0	310544.0	1238.0	370.0	2745.0	1.69	0.03	1.57	0.03	1.3	124335.0	1.28	3261.0	0.03	0.0	45.32	0.0	0	4407311	0
Hw1-4b_Pdam	7839487.0	49.0	5223465.0	66.63	49.36	505279.0	418017.0	500717.0	1704.0	350.0	2508.0	1.24	0.02	1.61	0.02	1.39	113648.0	1.45	2311.0	0.03	0.0	31.89	0.01	0	2499279	784
Hw1-4c_Pdam	8914384.0	49.0	6484832.0	72.75	49.4	494979.0	408806.0	489478.0	1727.0	405.0	3369.0	1.3	0.03	1.6	0.02	1.4	147874.0	1.66	3886.0	0.04	0.0	25.55	0.01	0	2276901	891
Hw1-6a_Pdam	18799781.0	49.0	12616833.0	67.11	49.37	881450.0	717203.0	870758.0	3433.0	604.0	6655.0	1.24	0.03	1.59	0.02	1.39	279627.0	1.49	7728.0	0.04	0.0	31.35	0.01	0	5893713	1880
Hw1-6b_Pdam	18342063.0	49.0	11522239.0	62.82	49.38	834620.0	682668.0	824389.0	3373.0	549.0	6309.0	1.25	0.03	1.6	0.02	1.4	277936.0	1.52	7795.0	0.04	0.0	35.62	0.01	0	6532259	1834
Hw1-6c_Pdam	16481147.0	49.0	9619641.0	58.37	49.36	637730.0	521903.0	629167.0	2658.0	534.0	5371.0	1.36	0.03	1.62	0.02	1.38	233863.0	1.42	6159.0	0.04	0.0	40.17	0.01	0	6619836	1648
Hw2-4a_Pdam	8951303.0	49.0	4817334.0	53.82	49.36	346871.0	287472.0	342177.0	1504.0	201.0	2989.0	1.69	0.04	1.67	0.03	1.44	131820.0	1.47	4482.0	0.05	0.0	44.66	0.0	0	3997667	0
Hw2-4b_Pdam	10432577.0	49.0	6882810.0	65.97	49.33	477361.0	387932.0	470498.0	2081.0	274.0	4508.0	1.73	0.04	1.7	0.03	1.43	203321.0	1.95	6836.0	0.07	0.0	32.01	0.01	0	3338567	1043
Hw2-4c_Pdam	9551871.0	49.0	6466135.0	67.69	49.33	438343.0	361369.0	431992.0	1924.0	269.0	4158.0	1.73	0.04	1.67	0.03	1.45	171507.0	1.8	6044.0	0.06	0.0	30.44	0.01	0	2907230	955
Hw2-6b_Pdam	18609554.0	49.0	12397447.0	66.62	49.31	770030.0	620116.0	758013.0	3579.0	428.0	8010.0	1.65	0.04	1.67	0.03	1.42	383634.0	2.06	13245.0	0.07	0.0	31.24	0.01	0	5813367	1861
Hw2-6c_Pdam	15338616.0	49.0	9293369.0	60.59	49.33	687798.0	564784.0	678784.0	2889.0	349.0	5776.0	1.58	0.04	1.69	0.03	1.42	260063.0	1.7	8498.0	0.06	0.0	37.64	0.02	0	5773618	3068
Wt1-4a_Pdam	8799963.0	49.0	6215332.0	70.63	49.34	432810.0	359037.0	426939.0	1811.0	227.0	3833.0	1.7	0.04	1.76	0.03	1.46	169164.0	1.92	6511.0	0.07	0.0	27.37	0.01	0	2408076	880
Wt1-4b_Pdam	8465190.0	49.0	5899328.0	69.69	49.33	406813.0	334695.0	401120.0	1625.0	202.0	3866.0	1.71	0.04	1.69	0.03	1.41	173326.0	2.05	6190.0	0.07	0.0	28.18	0.01	0	2385499	847
Wt1-4c_Pdam	12339189.0	49.0	6989326.0	56.64	49.34	429866.0	352292.0	423183.0	1719.0	201.0	4763.0	1.75	0.05	1.7	0.03	1.48	198886.0	1.61	7665.0	0.06	0.0	41.68	0.01	0	5142078	1234
Wt1-6a_Pdam	18457799.0	49.0	14037040.0	76.05	49.32	1059636.0	878668.0	1045929.0	4666.0	504.0	8537.0	1.58	0.04	1.69	0.03	1.42	403889.0	2.19	14076.0	0.08	0.0	21.68	0.01	0	4000949	1845
Wt1-6b_Pdam	17973556.0	49.0	12750037.0	70.94	49.3	982879.0	808584.0	970769.0	3770.0	477.0	7863.0	1.58	0.04	1.68	0.03	1.42	332189.0	1.85	11629.0	0.06	0.0	27.11	0.04	0	4872512	7189
Wt1-6c_Pdam	17742038.0	49.0	13421266.0	75.65	49.29	1090897.0	895485.0	1078065.0	4222.0	492.0	8118.0	1.55	0.04	1.76	0.03	1.4	365110.0	2.06	13438.0	0.08	0.0	22.13	0.09	0	3926256	15968
Wt2-4a_Pdam	12283946.0	49.0	7674789.0	62.48	49.2	465368.0	382388.0	458300.0	1917.0	298.0	4853.0	2.07	0.04	1.65	0.03	1.33	208094.0	1.69	7076.0	0.06	0.0	35.76	0.01	0	4392759	1228
