Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Hw1-1a_PdamUnmapped	42.66478049604184	50.0	49.987869900037545	18.181818181818183	2823060.0
Hw1-1b_PdamUnmapped	22.907835551851974	50.0	49.987518742699	18.181818181818183	2282222.0
Hw1-1c_PdamUnmapped	40.995382332702114	50.0	49.987533394296875	18.181818181818183	3341888.0
Hw1-4a_PdamUnmapped	40.814753389226475	51.0	49.98661146190366	18.181818181818183	4410489.0
Hw1-4b_PdamUnmapped	19.973966718726317	51.0	49.984411884948635	18.181818181818183	2502291.0
Hw1-4c_PdamUnmapped	21.570376185764346	50.0	49.98570178164514	18.181818181818183	2281543.0
Hw1-5a_PdamUnmapped	34.9662407147124	49.0	49.98788222976457	9.090909090909092	5145171.0
Hw1-5b_PdamUnmapped	30.1235333525575	48.0	49.987788075665705	9.090909090909092	3989707.0
Hw1-5c_PdamUnmapped	27.1535277476751	50.0	49.987910819543245	0.0	5983284.0
Hw1-6a_PdamUnmapped	31.99747593112913	50.0	49.987482041030056	9.090909090909092	5903039.0
Hw1-6b_PdamUnmapped	29.21922015905689	51.0	49.986804528162516	9.090909090909092	6541638.0
Hw1-6c_PdamUnmapped	31.42746217316892	51.0	49.98719216773036	9.090909090909092	6627351.0
Hw2-1a_PdamUnmapped	36.34984235805909	50.0	49.98745679289526	18.181818181818183	3670114.0
Hw2-1b_PdamUnmapped	40.42488940165766	48.0	49.985704314495614	18.181818181818183	2535870.0
Hw2-1c_PdamUnmapped	52.55348072523848	47.0	49.987613249668556	27.27272727272727	2994490.0
Hw2-4a_PdamUnmapped	23.793537439333832	52.0	49.98781403795641	18.181818181818183	4002064.0
Hw2-4b_PdamUnmapped	23.461853293859832	50.0	49.986986821265276	18.181818181818183	3346300.0
Hw2-4c_PdamUnmapped	21.526791420910612	50.0	49.985913351843294	18.181818181818183	2914107.0
Hw2-5a_PdamUnmapped	28.527675503595574	50.0	49.987375301916025	9.090909090909092	5468408.0
Hw2-5b_PdamUnmapped	31.092308385697777	50.0	49.9871532772516	0.0	6453319.0
Hw2-5c_PdamUnmapped	23.792474135828954	48.0	49.98655470884637	9.090909090909092	3322799.0
Hw2-6b_PdamUnmapped	31.76586695638602	50.0	49.98633615612488	9.090909090909092	5828155.0
Hw2-6c_PdamUnmapped	30.419520543966627	51.0	49.986841857344785	9.090909090909092	5785011.0
Wt1-1a_PdamUnmapped	41.216044546436784	46.0	49.985797343788164	18.181818181818183	2186422.0
Wt1-1b_PdamUnmapped	28.84916336394825	48.0	49.98763463670569	18.181818181818183	2863725.0
Wt1-1c_PdamUnmapped	34.14841200014979	45.0	49.98782168990686	27.27272727272727	2171812.0
Wt1-4a_PdamUnmapped	22.17620521352329	49.0	49.98662404533616	18.181818181818183	2415379.0
Wt1-4b_PdamUnmapped	19.02206497976583	49.0	49.98607531551444	18.181818181818183	2392442.0
Wt1-4c_PdamUnmapped	24.86568128878065	51.0	49.98667126139987	18.181818181818183	5150825.0
Wt1-5a_PdamUnmapped	25.36900379235368	48.0	49.98742896289866	9.090909090909092	2169113.0
Wt1-5b_PdamUnmapped	31.445968495172366	47.0	49.9866614998303	9.090909090909092	3845035.0
Wt1-5c_PdamUnmapped	31.29558585643693	48.0	49.986235106134274	9.090909090909092	4350197.0
Wt1-6a_PdamUnmapped	28.454842499975356	47.0	49.98552669481176	9.090909090909092	4016567.0
Wt1-6b_PdamUnmapped	29.77279221686281	49.0	49.98092099828995	9.090909090909092	4891084.0
Wt1-6c_PdamUnmapped	33.965455792858535	48.0	49.97362442553248	9.090909090909092	3955402.0
Wt2-1a_PdamUnmapped	33.30986231173374	47.0	49.98636601739809	18.181818181818183	4562570.0
Wt2-1b_PdamUnmapped	34.2222453738126	44.0	49.98686691059619	18.181818181818183	1641731.0
Wt2-1c_PdamUnmapped	34.89476750911339	47.0	49.98685153817995	18.181818181818183	1772907.0
Wt2-4a_PdamUnmapped	49.53180418165899	49.0	49.9861078542045	18.181818181818183	4400904.0
Wt2-4b_PdamUnmapped	31.05663320221572	46.0	49.986616628800945	9.090909090909092	3508010.0
Wt2-4c_PdamUnmapped	30.142571882081086	49.0	49.98735652428508	9.090909090909092	6120548.0
Wt2-5a_PdamUnmapped	32.35759005706211	44.0	49.98596614753768	9.090909090909092	2579192.0
Wt2-5b_PdamUnmapped	32.95775341520337	46.0	49.98306130009171	9.090909090909092	3285199.0
Wt2-5c_PdamUnmapped	58.40062407638109	48.0	49.9854702534947	18.181818181818183	1907535.0
Wt2-6a_PdamUnmapped	28.85997155688213	48.0	49.98238756520864	9.090909090909092	4015572.0
Wt2-6b_PdamUnmapped	26.483405711965275	51.0	49.987992524287286	9.090909090909092	5865929.0
Wt2-6c_PdamUnmapped	45.83186516050613	48.0	49.986573123549654	9.090909090909092	3956393.0
