Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Hw1-1a	Hw1-1a.txt.gz	Conventional base calls	Sanger / Illumina 1.9	9713826.0	0.0	50.0	45.0	47.19185725417764	50.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
Hw1-1b	Hw1-1b.txt.gz	Conventional base calls	Sanger / Illumina 1.9	9526623.0	0.0	50.0	44.0	54.39439684827308	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
Hw1-1c	Hw1-1c.txt.gz	Conventional base calls	Sanger / Illumina 1.9	9405980.0	0.0	50.0	45.0	52.27881585083399	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
Hw1-4a	Hw1-4a.txt.gz	Conventional base calls	Sanger / Illumina 1.9	9878242.0	0.0	50.0	46.0	55.73884365626177	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
Hw1-4b	Hw1-4b.txt.gz	Conventional base calls	Sanger / Illumina 1.9	8240977.0	0.0	50.0	46.0	59.35523393580411	50.0	pass	pass	fail	pass	fail	fail	pass	pass	warn	fail	pass
Hw1-4c	Hw1-4c.txt.gz	Conventional base calls	Sanger / Illumina 1.9	9008039.0	0.0	50.0	43.0	58.453209306116364	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
Hw1-5a	Hw1-5a.txt.gz	Conventional base calls	Sanger / Illumina 1.9	18960801.0	0.0	50.0	43.0	46.5906539813709	50.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
Hw1-5b	Hw1-5b.txt.gz	Conventional base calls	Sanger / Illumina 1.9	16436451.0	0.0	50.0	42.0	52.76805748765866	50.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
Hw1-5c	Hw1-5c.txt.gz	Conventional base calls	Sanger / Illumina 1.9	17544535.0	0.0	50.0	44.0	56.287974343079206	50.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
Hw1-6a	Hw1-6a.txt.gz	Conventional base calls	Sanger / Illumina 1.9	18833722.0	0.0	50.0	44.0	50.323714531498574	50.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
