Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
Hw1-4a_SymC1	3610463	1129536	0	0	0	0	0	1116142	0	0	1364312	0	473	31.285073410252366
Hw1-4b_SymC1	2031504	861205	0	0	0	0	0	344048	0	0	825914	0	337	42.39248359835865
Hw1-4c_SymC1	1656188	692740	0	0	0	0	0	296655	0	0	666491	0	302	41.82737708521013
Hw1-6a_SymC1	4729031	1867899	0	0	0	0	0	862226	0	0	1998196	0	710	39.49855689252196
Hw1-6b_SymC1	5503116	2216795	0	0	0	0	0	920744	0	0	2364719	0	858	40.28254174544022
Hw1-6c_SymC1	5793514	2168596	0	0	0	0	0	1297760	0	0	2326305	0	853	37.43144488819738
Hw2-4a_SymC1	3559310	1548548	0	0	0	0	0	577324	0	0	1432793	0	645	43.50697185690485
Hw2-4b_SymC1	2502078	1055006	0	0	0	0	0	415302	0	0	1031328	0	442	42.16519229216675
Hw2-4c_SymC1	2154050	921592	0	0	0	0	0	357808	0	0	874249	0	401	42.78415078572921
Hw2-6b_SymC1	4454270	1776446	0	0	0	0	0	803811	0	0	1873348	0	665	39.88186616437711
Hw2-6c_SymC1	4903426	2091187	0	0	0	0	0	848600	0	0	1962741	0	898	42.647467301433736
Wt1-4a_SymC1	1673797	712492	0	0	0	0	0	278913	0	0	682094	0	298	42.5674081146041
Wt1-4b_SymC1	1678979	706880	0	0	0	0	0	289155	0	0	682658	0	286	42.10177733015124
Wt1-4c_SymC1	4401320	1884565	0	0	0	0	0	706898	0	0	1809079	0	778	42.8181772740905
Wt1-6a_SymC1	2320817	948371	0	0	0	0	0	432770	0	0	939323	0	353	40.86366999207607
Wt1-6b_SymC1	3430578	1422408	0	0	0	0	0	632062	0	0	1375517	0	591	41.46263399345533
Wt1-6c_SymC1	2350700	964623	0	0	0	0	0	445793	0	0	939868	0	416	41.035563874590544
Wt2-4a_SymC1	3052021	777149	0	0	0	0	0	1166167	0	0	1108369	0	336	25.463422433856124
Wt2-4b_SymC1	1969586	787349	0	0	0	0	0	321646	0	0	860295	0	296	39.97535522693602
Wt2-4c_SymC1	4473185	1841463	0	0	0	0	0	730147	0	0	1900881	0	694	41.16670783792756
Wt2-6a_SymC1	2395762	1000876	0	0	0	0	0	432254	0	0	962214	0	418	41.77693777595604
Wt2-6b_SymC1	4824607	2055224	0	0	0	0	0	807113	0	0	1961382	0	888	42.5987857663847
Wt2-6c_SymC1	2361445	673212	0	0	0	0	0	814306	0	0	873649	0	278	28.508476801280576
