Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
Hw1-4a_SymC1	31.285073410252366	1129536
Hw1-4b_SymC1	42.39248359835865	861205
Hw1-4c_SymC1	41.82737708521013	692740
Hw1-6a_SymC1	39.49855689252196	1867899
Hw1-6b_SymC1	40.28254174544022	2216795
Hw1-6c_SymC1	37.43144488819738	2168596
Hw2-4a_SymC1	43.50697185690485	1548548
Hw2-4b_SymC1	42.16519229216675	1055006
Hw2-4c_SymC1	42.78415078572921	921592
Hw2-6b_SymC1	39.88186616437711	1776446
Hw2-6c_SymC1	42.647467301433736	2091187
Wt1-4a_SymC1	42.5674081146041	712492
Wt1-4b_SymC1	42.10177733015124	706880
Wt1-4c_SymC1	42.8181772740905	1884565
Wt1-6a_SymC1	40.86366999207607	948371
Wt1-6b_SymC1	41.46263399345533	1422408
Wt1-6c_SymC1	41.035563874590544	964623
Wt2-4a_SymC1	25.463422433856124	777149
Wt2-4b_SymC1	39.97535522693602	787349
Wt2-4c_SymC1	41.16670783792756	1841463
Wt2-6a_SymC1	41.77693777595604	1000876
Wt2-6b_SymC1	42.5987857663847	2055224
Wt2-6c_SymC1	28.508476801280576	673212
