Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Hw1-4a_SymC1	4410572.0	49.0	2494321.0	56.55	48.66	677009.0	267038.0	276309.0	304299.0	136.0	96265.0	1.13	0.01	1.77	0.0	1.83	435431.0	9.87	271.0	0.01	0.0	33.57	0.0	0	1480549	0
Hw1-4b_SymC1	2502374.0	49.0	1687456.0	67.43	48.62	510670.0	201729.0	207821.0	229483.0	72.0	73294.0	0.53	0.01	1.82	0.0	1.85	144966.0	5.79	264.0	0.01	0.0	26.76	0.0	0	669688	0
Hw1-4c_SymC1	2281678.0	49.0	1359533.0	59.58	48.64	410757.0	162760.0	168168.0	183828.0	64.0	58697.0	0.54	0.01	1.81	0.0	1.88	125417.0	5.5	146.0	0.01	0.0	34.91	0.0	0	796582	0
Hw1-6a_SymC1	5903321.0	49.0	3866805.0	65.5	48.71	1078323.0	429618.0	433547.0	488323.0	176.0	156277.0	0.5	0.01	1.74	0.0	1.81	363278.0	6.15	504.0	0.01	0.0	28.33	0.0	0	1672734	0
Hw1-6b_SymC1	6541888.0	49.0	4582372.0	70.05	48.72	1306714.0	515965.0	525713.0	592292.0	241.0	188468.0	0.44	0.01	1.74	0.0	1.8	392195.0	6.0	859.0	0.01	0.0	23.94	0.0	0	1566462	0
Hw1-6c_SymC1	6627643.0	49.0	4495754.0	67.83	48.7	1296497.0	511191.0	523644.0	587164.0	226.0	185463.0	0.55	0.01	1.75	0.0	1.82	537476.0	8.11	581.0	0.01	0.0	24.05	0.0	0	1593832	0
Hw2-4a_SymC1	4002149.0	49.0	2981986.0	74.51	48.67	983828.0	386084.0	401702.0	443419.0	205.0	138502.0	0.48	0.01	1.86	0.0	1.81	248892.0	6.22	268.0	0.01	0.0	19.26	0.0	0	771003	0
Hw2-4b_SymC1	3346446.0	49.0	2086776.0	62.36	48.64	647187.0	252884.0	263953.0	291923.0	135.0	91176.0	0.51	0.01	1.8	0.0	1.81	176443.0	5.27	305.0	0.01	0.0	32.36	0.0	0	1082922	0
Hw2-4c_SymC1	2914229.0	49.0	1796242.0	61.64	48.61	564492.0	221640.0	230812.0	254193.0	115.0	79372.0	0.51	0.01	1.83	0.0	1.79	151756.0	5.21	238.0	0.01	0.0	33.15	0.0	0	965993	0
Hw2-6b_SymC1	5828473.0	49.0	3650459.0	62.63	48.72	1045809.0	416398.0	420343.0	473746.0	199.0	151521.0	0.45	0.01	1.77	0.0	1.82	340931.0	5.85	450.0	0.01	0.0	31.51	0.0	0	1836633	0
Hw2-6c_SymC1	5785184.0	49.0	4054826.0	70.09	48.7	1331070.0	522452.0	537463.0	604580.0	252.0	188775.0	0.41	0.01	1.84	0.0	1.86	362013.0	6.26	2170.0	0.04	0.0	23.61	0.0	0	1366175	0
Wt1-4a_SymC1	2415467.0	49.0	1394884.0	57.75	48.66	430798.0	169077.0	175509.0	194574.0	84.0	60631.0	0.51	0.01	1.82	0.0	1.82	118606.0	4.91	198.0	0.01	0.0	37.33	0.0	0	901779	0
Wt1-4b_SymC1	2392536.0	49.0	1389824.0	58.09	48.65	420811.0	165190.0	172029.0	189516.0	77.0	59189.0	0.52	0.01	1.83	0.0	1.8	122087.0	5.1	201.0	0.01	0.0	36.8	0.0	0	880424	0
Wt1-4c_SymC1	5150977.0	49.0	3694422.0	71.72	48.65	1158478.0	452659.0	472824.0	522449.0	208.0	162997.0	0.5	0.01	1.85	0.0	1.83	303726.0	5.9	435.0	0.01	0.0	22.37	0.0	0	1152394	0
Wt1-6a_SymC1	4016870.0	49.0	1888047.0	47.0	48.68	575998.0	227718.0	231619.0	261921.0	128.0	82330.0	0.47	0.01	1.78	0.0	1.8	183300.0	4.56	279.0	0.01	0.0	48.43	0.0	0	1945244	0
Wt1-6b_SymC1	4891330.0	49.0	2798516.0	57.21	48.65	874683.0	344593.0	353414.0	396515.0	163.0	124591.0	0.47	0.01	1.76	0.0	1.81	263586.0	5.39	5699.0	0.12	0.0	37.28	0.0	0	1823529	0
Wt1-6c_SymC1	3955662.0	49.0	1904907.0	48.16	48.69	576946.0	227831.0	232597.0	261072.0	101.0	83176.0	0.47	0.01	1.78	0.0	1.88	183999.0	4.65	12972.0	0.33	0.0	46.86	0.0	0	1853784	0
Wt2-4a_SymC1	4401063.0	49.0	1885854.0	42.85	48.65	473619.0	183485.0	193704.0	212423.0	101.0	67391.0	1.58	0.01	1.72	0.0	1.71	446599.0	10.15	236.0	0.01	0.0	47.0	0.0	0	2068374	0
Wt2-4b_SymC1	3508269.0	49.0	1647940.0	46.97	48.78	455111.0	184158.0	180380.0	205488.0	121.0	69122.0	0.43	0.01	1.75	0.0	1.74	137155.0	3.91	344.0	0.01	0.0	49.11	0.0	0	1722830	0
Wt2-4c_SymC1	6120828.0	49.0	3743038.0	61.15	48.72	1105760.0	438530.0	440915.0	501611.0	210.0	163024.0	0.43	0.01	1.77	0.0	1.77	313619.0	5.12	421.0	0.01	0.0	33.72	0.0	0	2063750	0
Wt2-6a_SymC1	4015804.0	49.0	1963508.0	48.89	48.68	607196.0	239135.0	245672.0	275381.0	115.0	86028.0	0.45	0.01	1.82	0.0	1.84	181197.0	4.51	2973.0	0.07	0.0	46.52	0.0	0	1868126	0
Wt2-6b_SymC1	5866194.0	49.0	4017494.0	68.49	48.68	1268362.0	498958.0	511163.0	576231.0	253.0	180715.0	0.42	0.01	1.82	0.0	1.84	344303.0	5.87	459.0	0.01	0.0	25.64	0.0	0	1503938	0
Wt2-6c_SymC1	3956611.0	49.0	1547139.0	39.1	48.69	413011.0	160973.0	166608.0	187249.0	79.0	59075.0	1.24	0.01	1.74	0.0	1.83	314764.0	7.96	353.0	0.01	0.0	52.93	0.0	0	2094355	0
