Gene model,E-value
SymbC1.scaffold1.10,4.19E-08
SymbC1.scaffold1.100,0
SymbC1.scaffold1.1000,0
SymbC1.scaffold1.1004,4.48E-08
SymbC1.scaffold1.1009,4.24E-20
SymbC1.scaffold1.1010,7.51E-57
SymbC1.scaffold1.1012,3.31E-103
SymbC1.scaffold1.1013,4.71E-30
SymbC1.scaffold1.1015,0
SymbC1.scaffold1.1018,5.27E-124
SymbC1.scaffold1.1020,2.32E-14
SymbC1.scaffold1.1024,1.65E-115
SymbC1.scaffold1.1025,4.27E-79
SymbC1.scaffold1.1029,2.72E-88
SymbC1.scaffold1.103,9.09E-52
SymbC1.scaffold1.1031,0
SymbC1.scaffold1.1035,4.45E-39
SymbC1.scaffold1.1036,1.91E-32
SymbC1.scaffold1.1040,5.04E-41
SymbC1.scaffold1.1044,5.88E-68
SymbC1.scaffold1.1048,7.84E-26
SymbC1.scaffold1.105,4.39E-54
SymbC1.scaffold1.1051,4.18E-42
SymbC1.scaffold1.1060,3.28E-31
SymbC1.scaffold1.1061,1.35E-08
SymbC1.scaffold1.1062,6.77E-116
SymbC1.scaffold1.1067,4.81E-77
SymbC1.scaffold1.1068,1.23E-09
SymbC1.scaffold1.1069,4.49E-84
SymbC1.scaffold1.1075,9.75E-59
SymbC1.scaffold1.1076,0
SymbC1.scaffold1.1078,0
SymbC1.scaffold1.1079,5.42E-54
SymbC1.scaffold1.1082,4.57E-22
SymbC1.scaffold1.1084,0
SymbC1.scaffold1.1085,2.74E-72
SymbC1.scaffold1.1087,4.18E-46
SymbC1.scaffold1.1088,3.17E-131
SymbC1.scaffold1.1089,5.51E-85
SymbC1.scaffold1.1091,9.28E-12
SymbC1.scaffold1.1093,1.01E-15
SymbC1.scaffold1.1095,1.24E-28
SymbC1.scaffold1.1101,7.40E-53
SymbC1.scaffold1.1102,3.59E-56
SymbC1.scaffold1.1104,3.46E-115
SymbC1.scaffold1.1105,0
SymbC1.scaffold1.1106,1.35E-10
SymbC1.scaffold1.1107,3.56E-139
SymbC1.scaffold1.1110,0
SymbC1.scaffold1.1117,2.05E-108
SymbC1.scaffold1.1118,4.13E-117
SymbC1.scaffold1.1119,1.24E-12
SymbC1.scaffold1.1120,4.32E-14
SymbC1.scaffold1.1121,0
SymbC1.scaffold1.1123,1.11E-95
SymbC1.scaffold1.1124,2.28E-93
SymbC1.scaffold1.1126,6.23E-59
SymbC1.scaffold1.1127,2.18E-81
SymbC1.scaffold1.1129,0
SymbC1.scaffold1.1131,2.64E-77
SymbC1.scaffold1.1133,1.39E-42
SymbC1.scaffold1.1136,5.24E-29
SymbC1.scaffold1.1137,1.51E-55
SymbC1.scaffold1.114,3.37E-169
SymbC1.scaffold1.1142,1.00E-147
SymbC1.scaffold1.1147,0
SymbC1.scaffold1.1149,2.15E-22
SymbC1.scaffold1.1153,3.71E-53
SymbC1.scaffold1.1156,7.12E-18
SymbC1.scaffold1.1159,1.04E-10
SymbC1.scaffold1.1160,5.83E-33
SymbC1.scaffold1.1162,0
SymbC1.scaffold1.1164,4.30E-65
SymbC1.scaffold1.1165,1.55E-19
SymbC1.scaffold1.1166,8.88E-17
SymbC1.scaffold1.1173,1.81E-139
SymbC1.scaffold1.1176,0
SymbC1.scaffold1.1181,6.83E-08
SymbC1.scaffold1.1182,1.55E-07
SymbC1.scaffold1.1185,1.78E-38
SymbC1.scaffold1.1188,3.30E-71
SymbC1.scaffold1.1189,2.30E-49
SymbC1.scaffold1.1196,1.83E-76
SymbC1.scaffold1.1198,5.41E-97
SymbC1.scaffold1.1199,2.85E-21
SymbC1.scaffold1.12,1.88E-120
SymbC1.scaffold1.1200,2.14E-16
SymbC1.scaffold1.1202,4.09E-34
SymbC1.scaffold1.1204,2.00E-21
