Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold100.11,tr|A0A1Q9F412|A0A1Q9F412_SYMMI;tr|A0A1Q9CF98|A0A1Q9CF98_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene1528 PE=4 SV=1//description2:Calmodulin OS=Symbiodinium microadriaticum GN=Calmodulin PE=4 SV=1,3.43E-17,GO:0005509;GO:0016021;GO:0016020,NA,NA,108.7127359,-0.180968772,0.07319771,-2.47232832,0.013423617,0.036418137,TRUE
SymbC1.scaffold100.13,tr|A8I1R0|A8I1R0_HETTR,Putative uncharacterized protein OS=Heterocapsa triquetra PE=2 SV=1,4.61E-30,GO:0003676,NA,NA,55.64395813,-0.602569379,0.181677316,-3.316701239,0.000911,0.003564144,TRUE
SymbC1.scaffold100.18,tr|A0A1Q9DBL9|A0A1Q9DBL9_SYMMI;tr|A0A1Q9F7B1|A0A1Q9F7B1_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene25576 PE=4 SV=1//description2:Nephrocystin-3 OS=Symbiodinium microadriaticum GN=NPHP3 PE=4 SV=1,3.71E-38,GO:0003777;GO:0005871,NA,PF13360,50.82257186,-0.297460268,0.099749229,-2.982080869,0.002862964,0.009664315,TRUE
SymbC1.scaffold100.19,tr|A0A1Q9DQM3|A0A1Q9DQM3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene20166 PE=4 SV=1,3.91E-69,GO:0006508;GO:0016020;GO:0005576;GO:0016021,NA,NA,34.2901845,-0.399689318,0.138782054,-2.879978395,0.003977024,0.012857539,TRUE
SymbC1.scaffold100.9,sp|Q8BJU0|SGTA_MOUSE,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Mus musculus GN=Sgta PE=1 SV=2,3.51E-17,GO:0043621;GO:0016020;GO:0030433;GO:0046982;GO:0042803;GO:1904288;GO:0005634;GO:0005737;GO:1903071;GO:2000059;GO:0005829;GO:1903070,K16365,PF00254;PF13432,171.6039385,-0.263566095,0.080639596,-3.268445133,0.001081401,0.004138454,TRUE
SymbC1.scaffold1000.1,sp|Q9SIC9|PP178_ARATH,"Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana GN=At2g31400 PE=2 SV=1",1.57E-26,GO:0009507;GO:0004519;GO:0010019;GO:0009536;GO:0090305;GO:0031930;GO:0003723;GO:0003677;GO:0009451,NA,PF13041;PF01535,4.634920371,1.27339472,0.3750756,3.395034815,0.000686,0.00278648,TRUE
SymbC1.scaffold1000.5,sp|P35523|CLCN1_HUMAN,Chloride channel protein 1 OS=Homo sapiens GN=CLCN1 PE=1 SV=3,1.58E-31,GO:1903959;GO:0034765;GO:0019227;GO:0034707;GO:0034220;GO:0005886;GO:0042383;GO:0055085;GO:1902476;GO:0006936;GO:0005515;GO:0005244;GO:0005887;GO:0016021;GO:0005247;GO:0042803;GO:0006821;GO:0005254;GO:0005216;GO:0016020;GO:0006811;GO:0006810,K05010,PF00654,45.15340261,-0.933514351,0.138709365,-6.730002335,1.7E-11,2.95E-10,TRUE
SymbC1.scaffold10004.1,tr|A0A1Q9CDD2|A0A1Q9CDD2_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene38586 PE=4 SV=1,3.24E-40,GO:0016020;GO:0016021,NA,NA,13.16027586,1.098407048,0.213491246,5.144974648,0.000000268,0.00000236,TRUE
SymbC1.scaffold10004.2,tr|A0A1Q9DJY9|A0A1Q9DJY9_SYMMI,"Coiled-coil domain-containing protein 19, mitochondrial OS=Symbiodinium microadriaticum GN=CCDC19 PE=4 SV=1",7.73E-17,GO:0016021;GO:0016020,NA,NA,9.395323613,-0.90083688,0.267757277,-3.364378702,0.000767,0.003070886,TRUE
SymbC1.scaffold1001.1,sp|P07519|CBP1_HORVU,Serine carboxypeptidase 1 OS=Hordeum vulgare GN=CBP1 PE=1 SV=4,9.23E-46,GO:0006508;GO:0004180;GO:0016787;GO:0005576;GO:0008233;GO:0004185,NA,PF00450,54.24199575,-1.205475781,0.119622988,-10.07729201,6.96E-24,5E-22,TRUE
SymbC1.scaffold10015.3,tr|A0A1Q9E3Y9|A0A1Q9E3Y9_SYMMI,Nipped-B-like protein B OS=Symbiodinium microadriaticum GN=nipblb PE=4 SV=1,4.26E-10,NA,NA,NA,0.988727239,2.383716915,0.806913777,2.954116019,0.003135661,0.010457732,TRUE
SymbC1.scaffold1002.10,tr|A0A1Q9CRR0|A0A1Q9CRR0_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene33372 PE=4 SV=1,1.06E-32,GO:0016020;GO:0016021,NA,NA,5.216346883,-0.964120141,0.317405206,-3.037505756,0.002385448,0.008242021,TRUE
SymbC1.scaffold1002.11,sp|Q90ZY4|SBK1_DANRE,Serine/threonine-protein kinase SBK1 OS=Danio rerio GN=sbk1 PE=1 SV=1,2.15E-15,GO:0016301;GO:0005737;GO:0004674;GO:0016310;GO:0005524;GO:0018107;GO:0018105;GO:0004672;GO:0016740;GO:0000166;GO:0006468,K08858,PF00668;PF00069,45.04290618,0.543294047,0.10320499,5.264222642,0.000000141,0.00000131,TRUE
SymbC1.scaffold1002.5,tr|A0A1Q9C0U3|A0A1Q9C0U3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene43507 PE=4 SV=1,0.00E+00,GO:0016021;GO:0016020,NA,PF03619,40.320507,-0.593566145,0.109619748,-5.414773845,6.14E-08,0.000000609,TRUE
SymbC1.scaffold1002.9,tr|A0A0E9MH81|A0A0E9MH81_9PROT;tr|K6ZQE6|K6ZQE6_9ALTE,description1:Uncharacterized protein OS=Sulfuricella sp. T08 GN=SCT_2605 PE=4 SV=1//description2:Uncharacterized protein OS=Paraglaciecola psychrophila 170 GN=C427_3399 PE=4 SV=1,1.18E-143,GO:0016020;GO:0016021,NA,PF02696;PF00085,51.40027812,-0.739836875,0.113135502,-6.539387378,6.18E-11,9.91E-10,TRUE
SymbC1.scaffold10022.1,tr|C5LMX5|C5LMX5_PERM5,Putative uncharacterized protein OS=Perkinsus marinus (strain ATCC 50983 / TXsc) GN=Pmar_PMAR027801 PE=4 SV=1,1.12E-89,GO:0016491;GO:0055114;GO:0031418;GO:0016705;GO:0005506,NA,PF13640,14.21970371,0.603649803,0.204611265,2.95022761,0.003175399,0.010569109,TRUE
SymbC1.scaffold1003.11,sp|Q9M1H3|AB4F_ARATH,ABC transporter F family member 4 OS=Arabidopsis thaliana GN=ABCF4 PE=2 SV=1,9.83E-94,GO:0006810;GO:0005215;GO:0016887;GO:0000166;GO:0005524,K06184,PF00005,34.06139362,-0.559835038,0.158210828,-3.538538072,0.000402,0.00174826,TRUE
