Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,Hw1-1a,Hw1-1b,Hw1-1c,Hw1-4a,Hw1-4b,Hw1-4c,Hw1-5a,Hw1-5b,Hw1-5c,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-1a,Hw2-1b,Hw2-1c,Hw2-4a,Hw2-4b,Hw2-4c,Hw2-5a,Hw2-5b,Hw2-5c,Hw2-6b,Hw2-6c,Wt1-1a,Wt1-1b,Wt1-1c,Wt1-4a,Wt1-4b,Wt1-4c,Wt1-5a,Wt1-5b,Wt1-5c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-1a,Wt2-1b,Wt2-1c,Wt2-4a,Wt2-4b,Wt2-4c,Wt2-5a,Wt2-5b,Wt2-5c,Wt2-6a,Wt2-6b,Wt2-6c
SymbC1.scaffold100.11,tr|A0A1Q9F412|A0A1Q9F412_SYMMI;tr|A0A1Q9CF98|A0A1Q9CF98_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene1528 PE=4 SV=1//description2:Calmodulin OS=Symbiodinium microadriaticum GN=Calmodulin PE=4 SV=1,3.43E-17,GO:0005509;GO:0016021;GO:0016020,NA,NA,108.7127359,-0.180968772,0.07319771,-2.47232832,0.013423617,0.036418137,TRUE,66,85,112,141,108,77,167,140,235,217,334,281,112,70,54,221,155,120,220,274,103,221,310,40,77,40,103,98,228,52,96,116,103,184,99,116,33,37,96,97,204,46,62,31,104,244,80
SymbC1.scaffold100.13,tr|A8I1R0|A8I1R0_HETTR,Putative uncharacterized protein OS=Heterocapsa triquetra PE=2 SV=1,4.61E-30,GO:0003676,NA,NA,55.64395813,-0.602569379,0.181677316,-3.316701239,0.000911,0.003564144,TRUE,69,47,41,45,53,54,131,66,110,170,122,101,73,39,57,89,79,67,105,162,69,152,184,33,38,26,20,26,67,26,71,69,35,95,37,96,9,14,19,18,76,25,36,40,29,60,17
SymbC1.scaffold100.18,tr|A0A1Q9DBL9|A0A1Q9DBL9_SYMMI;tr|A0A1Q9F7B1|A0A1Q9F7B1_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene25576 PE=4 SV=1//description2:Nephrocystin-3 OS=Symbiodinium microadriaticum GN=NPHP3 PE=4 SV=1,3.71E-38,GO:0003777;GO:0005871,NA,PF13360,50.82257186,-0.297460268,0.099749229,-2.982080869,0.002862964,0.009664315,TRUE,25,44,45,97,55,49,68,60,143,99,127,137,52,27,19,104,63,69,109,90,55,103,128,17,48,17,40,35,123,34,47,62,64,68,52,43,15,19,39,35,102,17,37,18,47,101,41
SymbC1.scaffold100.19,tr|A0A1Q9DQM3|A0A1Q9DQM3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene20166 PE=4 SV=1,3.91E-69,GO:0006508;GO:0016020;GO:0005576;GO:0016021,NA,NA,34.2901845,-0.399689318,0.138782054,-2.879978395,0.003977024,0.012857539,TRUE,26,22,32,41,28,30,76,37,68,87,84,95,54,21,30,52,51,41,98,106,29,100,97,15,38,13,20,24,49,11,41,49,27,61,25,33,3,4,21,23,54,19,21,14,25,60,28
SymbC1.scaffold100.9,sp|Q8BJU0|SGTA_MOUSE,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Mus musculus GN=Sgta PE=1 SV=2,3.51E-17,GO:0043621;GO:0016020;GO:0030433;GO:0046982;GO:0042803;GO:1904288;GO:0005634;GO:0005737;GO:1903071;GO:2000059;GO:0005829;GO:1903070,K16365,PF00254;PF13432,171.6039385,-0.263566095,0.080639596,-3.268445133,0.001081401,0.004138454,TRUE,132,153,187,220,166,137,309,174,374,367,456,489,232,131,85,320,218,184,310,380,136,415,413,62,143,65,131,109,355,99,158,209,164,308,174,137,37,51,138,103,273,65,124,102,167,402,129
SymbC1.scaffold1000.1,sp|Q9SIC9|PP178_ARATH,"Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana GN=At2g31400 PE=2 SV=1",1.57E-26,GO:0009507;GO:0004519;GO:0010019;GO:0009536;GO:0090305;GO:0031930;GO:0003723;GO:0003677;GO:0009451,NA,PF13041;PF01535,4.634920371,1.27339472,0.3750756,3.395034815,0.000686,0.00278648,TRUE,0,1,3,10,5,0,5,2,8,10,5,8,2,0,0,4,3,5,0,15,6,2,2,2,5,4,6,3,10,3,1,6,0,1,4,6,4,6,7,12,16,1,2,5,10,9,6
SymbC1.scaffold1000.5,sp|P35523|CLCN1_HUMAN,Chloride channel protein 1 OS=Homo sapiens GN=CLCN1 PE=1 SV=3,1.58E-31,GO:1903959;GO:0034765;GO:0019227;GO:0034707;GO:0034220;GO:0005886;GO:0042383;GO:0055085;GO:1902476;GO:0006936;GO:0005515;GO:0005244;GO:0005887;GO:0016021;GO:0005247;GO:0042803;GO:0006821;GO:0005254;GO:0005216;GO:0016020;GO:0006811;GO:0006810,K05010,PF00654,45.15340261,-0.933514351,0.138709365,-6.730002335,1.7E-11,2.95E-10,TRUE,46,58,44,77,56,52,65,66,126,104,134,145,65,27,23,115,72,62,106,103,50,83,149,12,26,5,43,41,96,20,37,30,53,73,37,31,7,11,38,16,62,9,13,5,45,93,39
SymbC1.scaffold10004.1,tr|A0A1Q9CDD2|A0A1Q9CDD2_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene38586 PE=4 SV=1,3.24E-40,GO:0016020;GO:0016021,NA,NA,13.16027586,1.098407048,0.213491246,5.144974648,0.000000268,0.00000236,TRUE,8,12,3,14,11,3,5,7,26,15,14,15,22,12,16,19,9,11,27,29,8,24,18,4,13,9,8,8,27,9,11,14,20,12,16,22,2,8,15,21,45,6,8,10,15,26,14
SymbC1.scaffold10004.2,tr|A0A1Q9DJY9|A0A1Q9DJY9_SYMMI,"Coiled-coil domain-containing protein 19, mitochondrial OS=Symbiodinium microadriaticum GN=CCDC19 PE=4 SV=1",7.73E-17,GO:0016021;GO:0016020,NA,NA,9.395323613,-0.90083688,0.267757277,-3.364378702,0.000767,0.003070886,TRUE,5,5,6,21,16,9,12,5,20,30,38,37,7,5,1,35,24,19,15,37,5,29,41,0,4,0,8,8,21,10,6,7,8,28,10,8,1,1,10,3,4,2,1,0,16,20,8
SymbC1.scaffold1001.1,sp|P07519|CBP1_HORVU,Serine carboxypeptidase 1 OS=Hordeum vulgare GN=CBP1 PE=1 SV=4,9.23E-46,GO:0006508;GO:0004180;GO:0016787;GO:0005576;GO:0008233;GO:0004185,NA,PF00450,54.24199575,-1.205475781,0.119622988,-10.07729201,6.96E-24,5E-22,TRUE,54,60,72,117,94,76,166,90,217,213,236,220,37,20,24,64,62,56,94,115,70,88,104,21,49,15,42,27,76,20,25,38,20,52,39,52,10,13,49,34,105,9,19,19,44,85,30
